threshold,stop_loss_pct,target_price,required_ticks,position_size_usdc,sharpe_ratio,win_rate,profit_factor,total_pnl,max_drawdown,total_trades
0.78,0.2,0.95,3,5,-0.2095,0.125,0.774,-0.1192,0.0014,8
0.78,0.2,0.95,3,10,-0.2095,0.125,0.774,-0.2384,0.0028,8
0.8,0.15,0.95,3,5,-0.2305,0.125,0.7614,-0.0773,0.0012,8
0.8,0.15,0.95,3,10,-0.2305,0.125,0.7614,-0.1547,0.0023,8
0.78,0.2,0.95,2,5,-0.2964,0.1,0.7109,-0.2088,0.0016,10
0.78,0.2,0.95,2,10,-0.2964,0.1,0.7109,-0.4177,0.0032,10
0.78,0.1,0.95,3,5,-0.3073,0.1111,0.7224,-0.1952,0.0015,9
0.78,0.1,0.95,3,10,-0.3073,0.1111,0.7224,-0.3905,0.003,9
0.7,0.15,0.95,3,5,-0.3686,0.1111,0.6732,-0.4357,0.002,9
0.7,0.15,0.95,3,10,-0.3686,0.1111,0.6732,-0.8715,0.004,9
0.8,0.2,0.95,3,5,-0.3835,0.125,0.6269,-0.3275,0.0014,8
0.8,0.2,0.95,3,10,-0.3835,0.125,0.6269,-0.655,0.0028,8
0.78,0.1,0.95,2,5,-0.3962,0.0909,0.6714,-0.2775,0.0017,11
0.78,0.1,0.95,2,10,-0.3962,0.0909,0.6714,-0.555,0.0033,11
0.75,0.15,0.95,3,5,-0.4123,0.1111,0.6439,-0.4949,0.002,9
0.75,0.15,0.95,3,10,-0.4123,0.1111,0.6439,-0.9899,0.004,9
0.8,0.2,0.95,2,5,-0.431,0.1,0.6114,-0.3673,0.0016,10
0.8,0.2,0.95,2,10,-0.431,0.1,0.6114,-0.7346,0.0032,10
0.7,0.1,0.95,3,5,-0.4381,0.1,0.6486,-0.4873,0.0021,10
0.7,0.1,0.95,3,10,-0.4381,0.1,0.6486,-0.9747,0.0042,10
0.75,0.15,0.95,2,5,-0.4582,0.0909,0.6249,-0.5425,0.0022,11
0.75,0.15,0.95,2,10,-0.4582,0.0909,0.6249,-1.085,0.0043,11
0.7,0.15,0.95,2,5,-0.4588,0.0909,0.6245,-0.5433,0.0022,11
0.7,0.15,0.95,2,10,-0.4588,0.0909,0.6245,-1.0867,0.0043,11
0.75,0.1,0.95,3,5,-0.4878,0.1,0.6204,-0.5465,0.0021,10
0.75,0.1,0.95,3,10,-0.4878,0.1,0.6204,-1.0931,0.0042,10
0.8,0.1,0.95,3,5,-0.5243,0.1111,0.5852,-0.4036,0.0015,9
0.8,0.1,0.95,3,10,-0.5243,0.1111,0.5852,-0.8071,0.003,9
0.75,0.1,0.95,2,5,-0.5481,0.0833,0.5955,-0.6249,0.0023,12
0.75,0.1,0.95,2,10,-0.5481,0.0833,0.5955,-1.2497,0.0045,12
0.7,0.1,0.95,2,5,-0.5488,0.0833,0.5952,-0.6257,0.0023,12
0.7,0.1,0.95,2,10,-0.5488,0.0833,0.5952,-1.2514,0.0045,12
0.65,0.2,0.95,3,5,-0.5518,0.1111,0.5538,-0.8721,0.0024,9
0.65,0.2,0.95,3,10,-0.5518,0.1111,0.5538,-1.7442,0.0049,9
0.7,0.2,0.95,3,5,-0.5518,0.1111,0.5538,-0.8721,0.0024,9
0.7,0.2,0.95,3,10,-0.5518,0.1111,0.5538,-1.7442,0.0049,9
0.8,0.1,0.95,2,5,-0.5628,0.0909,0.5774,-0.436,0.0017,11
0.8,0.1,0.95,2,10,-0.5628,0.0909,0.5774,-0.8719,0.0033,11
0.78,0.15,0.95,3,5,-0.5846,0.1111,0.5415,-0.7023,0.002,9
0.78,0.15,0.95,3,10,-0.5846,0.1111,0.5415,-1.4047,0.004,9
0.75,0.2,0.95,3,5,-0.5947,0.1111,0.5298,-0.9313,0.0024,9
0.75,0.2,0.95,3,10,-0.5947,0.1111,0.5298,-1.8627,0.0049,9
0.75,0.2,0.95,2,5,-0.6541,0.0909,0.5094,-1.0375,0.0027,11
0.75,0.2,0.95,2,10,-0.6541,0.0909,0.5094,-2.075,0.0053,11
0.65,0.2,0.95,2,5,-0.6548,0.0909,0.509,-1.0383,0.0027,11
0.65,0.2,0.95,2,10,-0.6548,0.0909,0.509,-2.0767,0.0053,11
0.7,0.2,0.95,2,5,-0.6548,0.0909,0.509,-1.0383,0.0027,11
0.7,0.2,0.95,2,10,-0.6548,0.0909,0.509,-2.0767,0.0053,11
0.78,0.15,0.95,2,5,-0.6552,0.0909,0.5184,-0.775,0.0022,11
0.78,0.15,0.95,2,10,-0.6552,0.0909,0.5184,-1.5499,0.0043,11
0.65,0.1,0.95,3,5,-0.7585,0.0909,0.5056,-1.0567,0.0027,11
0.65,0.1,0.95,3,10,-0.7585,0.0909,0.5056,-2.1134,0.0054,11
0.65,0.15,0.95,3,5,-0.7824,0.1,0.4726,-1.2702,0.0029,10
0.65,0.15,0.95,3,10,-0.7824,0.1,0.4726,-2.5403,0.0057,10
0.8,0.15,0.95,2,5,-0.8141,0.0909,0.4458,-0.9334,0.0022,11
0.8,0.15,0.95,2,10,-0.8141,0.0909,0.4458,-1.8668,0.0043,11
0.65,0.15,0.95,2,5,-0.8634,0.0833,0.4493,-1.3691,0.003,12
0.65,0.15,0.95,2,10,-0.8634,0.0833,0.4493,-2.7383,0.006,12
0.65,0.1,0.95,2,5,-0.8675,0.0769,0.4713,-1.2027,0.0029,13
0.65,0.1,0.95,2,10,-0.8675,0.0769,0.4713,-2.4055,0.0057,13
0.65,0.2,0.9,3,5,-3.9973,0.012,0.1165,-4.9321,0.0079,83
0.65,0.2,0.9,3,10,-3.9973,0.012,0.1165,-9.8642,0.0158,83
0.7,0.2,0.9,3,5,-3.9973,0.012,0.1165,-4.9321,0.0079,83
0.7,0.2,0.9,3,10,-3.9973,0.012,0.1165,-9.8642,0.0158,83
0.75,0.2,0.9,3,5,-4.3168,0.0122,0.1274,-3.9005,0.0068,82
0.75,0.2,0.9,3,10,-4.3168,0.0122,0.1274,-7.801,0.0136,82
0.65,0.15,0.9,3,5,-4.403,0.012,0.1245,-4.421,0.0074,83
0.65,0.15,0.9,3,10,-4.403,0.012,0.1245,-8.842,0.0148,83
0.7,0.15,0.9,3,5,-4.403,0.012,0.1245,-4.421,0.0074,83
0.7,0.15,0.9,3,10,-4.403,0.012,0.1245,-8.842,0.0148,83
0.75,0.15,0.9,3,5,-4.5541,0.012,0.1171,-4.4762,0.0074,83
0.75,0.15,0.9,3,10,-4.5541,0.012,0.1171,-8.9523,0.0148,83
0.78,0.2,0.9,3,5,-4.897,0.0122,0.0991,-4.0937,0.0068,82
0.78,0.2,0.9,3,10,-4.897,0.0122,0.0991,-8.1874,0.0136,82
0.65,0.1,0.9,3,5,-4.9212,0.0119,0.1238,-4.4408,0.0074,84
0.65,0.1,0.9,3,10,-4.9212,0.0119,0.1238,-8.8816,0.0149,84
0.7,0.1,0.9,3,5,-4.9212,0.0119,0.1238,-4.4408,0.0074,84
0.7,0.1,0.9,3,10,-4.9212,0.0119,0.1238,-8.8816,0.0149,84
0.75,0.1,0.9,3,5,-5.0669,0.012,0.126,-3.9494,0.0069,83
0.75,0.1,0.9,3,10,-5.0669,0.012,0.126,-7.8988,0.0137,83
0.65,0.2,0.9,2,5,-5.3936,0.0091,0.0889,-6.7159,0.0103,110
0.65,0.2,0.9,2,10,-5.3936,0.0091,0.0889,-13.4318,0.0207,110
0.7,0.2,0.9,2,5,-5.3936,0.0091,0.0889,-6.7159,0.0103,110
0.7,0.2,0.9,2,10,-5.3936,0.0091,0.0889,-13.4318,0.0207,110
0.78,0.15,0.9,3,5,-5.4217,0.0122,0.1023,-3.8785,0.0066,82
0.78,0.15,0.9,3,10,-5.4217,0.0122,0.1023,-7.757,0.0131,82
0.8,0.2,0.9,3,5,-5.5156,0.0122,0.0707,-4.2878,0.0068,82
0.8,0.2,0.9,3,10,-5.5156,0.0122,0.0707,-8.5755,0.0136,82
0.65,0.2,0.85,3,5,-5.6064,0.0109,0.0621,-6.2264,0.0091,92
0.65,0.2,0.85,3,10,-5.6064,0.0109,0.0621,-12.4529,0.0181,92
0.75,0.2,0.9,2,5,-5.8749,0.0092,0.0997,-5.6279,0.0092,109
0.75,0.2,0.9,2,10,-5.8749,0.0092,0.0997,-11.2559,0.0185,109
0.78,0.1,0.9,3,5,-5.9622,0.012,0.098,-4.1426,0.0069,83
0.78,0.1,0.9,3,10,-5.9622,0.012,0.098,-8.2852,0.0137,83
0.75,0.15,0.9,2,5,-6.059,0.0091,0.0936,-6.2,0.0098,110
0.75,0.15,0.9,2,10,-6.059,0.0091,0.0936,-12.4,0.0196,110
0.65,0.15,0.9,2,5,-6.0618,0.0091,0.0936,-6.2008,0.0098,110
0.65,0.15,0.9,2,10,-6.0618,0.0091,0.0936,-12.4016,0.0196,110
0.7,0.15,0.9,2,5,-6.0618,0.0091,0.0936,-6.2008,0.0098,110
0.7,0.15,0.9,2,10,-6.0618,0.0091,0.0936,-12.4016,0.0196,110
0.7,0.2,0.85,3,5,-6.1964,0.011,0.0698,-5.2465,0.0081,91
0.7,0.2,0.85,3,10,-6.1964,0.011,0.0698,-10.4931,0.0161,91
0.8,0.15,0.9,3,5,-6.3048,0.0122,0.073,-4.0726,0.0066,82
0.8,0.15,0.9,3,10,-6.3048,0.0122,0.073,-8.1451,0.0132,82
0.75,0.2,0.85,3,5,-6.3799,0.011,0.0634,-5.2984,0.0081,91
0.75,0.2,0.85,3,10,-6.3799,0.011,0.0634,-10.5967,0.0161,91
0.65,0.15,0.85,3,5,-6.513,0.0109,0.0655,-5.7632,0.0086,92
0.65,0.15,0.85,3,10,-6.513,0.0109,0.0655,-11.5264,0.0172,92
0.7,0.15,0.85,3,5,-6.513,0.0109,0.0655,-5.7632,0.0086,92
0.7,0.15,0.85,3,10,-6.513,0.0109,0.0655,-11.5264,0.0172,92
0.65,0.2,0.85,2,5,-6.5948,0.0164,0.0685,-7.3324,0.0109,122
0.65,0.2,0.85,2,10,-6.5948,0.0164,0.0685,-14.6649,0.0218,122
0.78,0.2,0.9,2,5,-6.7018,0.0092,0.0764,-5.8445,0.0092,109
0.78,0.2,0.9,2,10,-6.7018,0.0092,0.0764,-11.689,0.0185,109
0.65,0.1,0.9,2,5,-6.7183,0.009,0.0928,-6.2545,0.0099,111
0.65,0.1,0.9,2,10,-6.7183,0.009,0.0928,-12.5089,0.0198,111
0.7,0.1,0.9,2,5,-6.7183,0.009,0.0928,-6.2545,0.0099,111
0.7,0.1,0.9,2,10,-6.7183,0.009,0.0928,-12.5089,0.0198,111
0.75,0.1,0.9,2,5,-6.8034,0.0091,0.0989,-5.6755,0.0093,110
0.75,0.1,0.9,2,10,-6.8034,0.0091,0.0989,-11.351,0.0186,110
0.78,0.2,0.85,3,5,-7.0049,0.011,0.041,-5.4799,0.0081,91
0.78,0.2,0.85,3,10,-7.0049,0.011,0.041,-10.9597,0.0161,91
0.8,0.2,0.9,2,5,-7.3032,0.0092,0.0605,-5.9921,0.0092,109
0.8,0.2,0.9,2,10,-7.3032,0.0092,0.0605,-11.9841,0.0185,109
0.65,0.1,0.85,3,5,-7.3868,0.0108,0.0644,-5.8804,0.0087,93
0.65,0.1,0.85,3,10,-7.3868,0.0108,0.0644,-11.7608,0.0175,93
0.78,0.15,0.9,2,5,-7.4472,0.0092,0.0782,-5.6293,0.009,109
0.78,0.15,0.9,2,10,-7.4472,0.0092,0.0782,-11.2586,0.018,109
0.75,0.2,0.85,2,5,-7.4908,0.0165,0.0756,-6.3122,0.0099,121
0.75,0.2,0.85,2,10,-7.4908,0.0165,0.0756,-12.6245,0.0197,121
0.7,0.2,0.85,2,5,-7.4937,0.0165,0.0755,-6.313,0.0099,121
0.7,0.2,0.85,2,10,-7.4937,0.0165,0.0755,-12.6259,0.0197,121
0.8,0.1,0.9,3,5,-7.5059,0.0122,0.076,-3.814,0.0063,82
0.8,0.1,0.9,3,10,-7.5059,0.0122,0.076,-7.628,0.0126,82
0.8,0.2,0.85,3,5,-7.5451,0.011,0.0185,-5.6622,0.0081,91
0.8,0.2,0.85,3,10,-7.5451,0.011,0.0185,-11.3244,0.0161,91
0.75,0.15,0.85,3,5,-7.6353,0.011,0.0658,-5.008,0.0078,91
0.75,0.15,0.85,3,10,-7.6353,0.011,0.0658,-10.0161,0.0155,91
0.7,0.1,0.85,3,5,-7.706,0.0109,0.0691,-5.311,0.0081,92
0.7,0.1,0.85,3,10,-7.706,0.0109,0.0691,-10.622,0.0163,92
0.65,0.15,0.85,2,5,-7.8123,0.0164,0.0718,-6.8139,0.0104,122
0.65,0.15,0.85,2,10,-7.8123,0.0164,0.0718,-13.6277,0.0208,122
0.7,0.15,0.85,2,5,-7.8123,0.0164,0.0718,-6.8139,0.0104,122
0.7,0.15,0.85,2,10,-7.8123,0.0164,0.0718,-13.6277,0.0208,122
0.75,0.1,0.85,3,5,-8.0277,0.0109,0.0627,-5.3628,0.0081,92
0.75,0.1,0.85,3,10,-8.0277,0.0109,0.0627,-10.7257,0.0163,92
0.78,0.1,0.9,2,5,-8.0686,0.0091,0.0758,-5.892,0.0093,110
