ma_window,entry_zscore,exit_zscore,stop_loss_pct,timeout_minutes,position_size_usdc,total_trades,winners,losers,total_pnl,win_rate,profit_factor,sharpe_ratio,max_drawdown,avg_trade_pnl,best_trade,worst_trade
20,-1.5,0.5,0.15,45,5,99,10,89,-3.213461710711396,0.10101010101010101,0.3103567111843249,-0.22385632346627046,0.008187771631454894,-0.03245920919910501,0.8186980060742111,-0.5801136363636362
20,-1.5,0.5,0.15,45,10,99,10,89,-6.426923421422792,0.10101010101010101,0.3103567111843249,-0.22385632346627046,0.016375543262909787,-0.06491841839821003,1.6373960121484221,-1.1602272727272724
20,-1.5,0.5,0.08,45,5,100,10,90,-3.282764314033522,0.1,0.32214723644525284,-0.2254066420620232,0.008314235853774563,-0.03282764314033522,0.9326825984517003,-0.449147727272727
20,-1.5,0.5,0.08,45,10,100,10,90,-6.565528628067044,0.1,0.32214723644525284,-0.2254066420620232,0.01662847170754901,-0.06565528628067044,1.8653651969034006,-0.898295454545454
20,-1.5,0.5,0.08,60,5,100,10,90,-3.282764314033522,0.1,0.32214723644525284,-0.2254066420620232,0.008314235853774563,-0.03282764314033522,0.9326825984517003,-0.449147727272727
20,-1.5,0.5,0.08,60,10,100,10,90,-6.565528628067044,0.1,0.32214723644525284,-0.2254066420620232,0.01662847170754901,-0.06565528628067044,1.8653651969034006,-0.898295454545454
20,-1.5,0.5,0.1,45,5,99,10,89,-3.2353634448570827,0.10101010101010101,0.2964979974210665,-0.23742173125303365,0.008209673365600679,-0.03268043883694023,0.7361364228065607,-0.5498422344279542
20,-1.5,0.5,0.1,45,10,99,10,89,-6.470726889714165,0.10101010101010101,0.2964979974210665,-0.23742173125303365,0.016419346731201018,-0.06536087767388046,1.4722728456131213,-1.0996844688559084
20,-1.5,0.5,0.1,60,5,99,10,89,-3.2353634448570827,0.10101010101010101,0.2964979974210665,-0.23742173125303365,0.008209673365600679,-0.03268043883694023,0.7361364228065607,-0.5498422344279542
20,-1.5,0.5,0.1,60,10,99,10,89,-6.470726889714165,0.10101010101010101,0.2964979974210665,-0.23742173125303365,0.016419346731201018,-0.06536087767388046,1.4722728456131213,-1.0996844688559084
30,-1.5,0.5,0.15,45,5,86,14,72,-3.4824167615511588,0.16279069767441862,0.2344136410671747,-0.25715947373301656,0.008600669500477352,-0.04049321815757161,0.8186980060742111,-0.70965531780331
30,-1.5,0.5,0.15,45,10,86,14,72,-6.9648335231023175,0.16279069767441862,0.2344136410671747,-0.25715947373301656,0.01720133900095459,-0.08098643631514323,1.6373960121484221,-1.41931063560662
20,-1.5,0.0,0.15,45,5,108,6,102,-3.8633867034882887,0.05555555555555555,0.26821647750660604,-0.2576942913393859,0.00883769662423174,-0.035772099106373044,0.8186980060742111,-0.5801136363636362
20,-1.5,0.0,0.15,45,10,108,6,102,-7.726773406976577,0.05555555555555555,0.26821647750660604,-0.2576942913393859,0.017675393248463366,-0.07154419821274609,1.6373960121484221,-1.1602272727272724
20,-1.5,0.0,0.08,45,5,109,6,103,-3.932309599592186,0.05504587155963303,0.2801025984760927,-0.2584340812367183,0.008931519655728266,-0.03607623485864391,0.9326825984517003,-0.449147727272727
20,-1.5,0.0,0.08,45,10,109,6,103,-7.864619199184372,0.05504587155963303,0.2801025984760927,-0.2584340812367183,0.017863039311455962,-0.07215246971728782,1.8653651969034006,-0.898295454545454
20,-1.5,0.0,0.08,60,5,109,6,103,-3.932309599592186,0.05504587155963303,0.2801025984760927,-0.2584340812367183,0.008931519655728266,-0.03607623485864391,0.9326825984517003,-0.449147727272727
20,-1.5,0.0,0.08,60,10,109,6,103,-7.864619199184372,0.05504587155963303,0.2801025984760927,-0.2584340812367183,0.017863039311455962,-0.07215246971728782,1.8653651969034006,-0.898295454545454
30,-1.5,0.5,0.08,45,5,89,14,75,-3.547917349013719,0.15730337078651685,0.24664128751550396,-0.26508474206118243,0.008816303229388837,-0.03986423987655864,0.9139712790229498,-0.5984505112258883
