ma_window,entry_zscore,exit_zscore,stop_loss_pct,timeout_minutes,position_size_usdc,total_trades,winners,losers,total_pnl,win_rate,profit_factor,sharpe_ratio,max_drawdown,avg_trade_pnl,best_trade,worst_trade
20,-2.0,0.5,0.1,45,5,45,4,41,-3.155584309293612,0.08888888888888889,0.6677935914635126,-0.0727000277271466,0.011275801496775192,-0.07012409576208027,6.018251681075886,-0.8529878371232152
20,-2.0,0.5,0.1,45,10,45,4,41,-6.311168618587224,0.08888888888888889,0.6677935914635126,-0.0727000277271466,0.02247641822724982,-0.14024819152416054,12.036503362151771,-1.7059756742464305
20,-2.0,0.5,0.1,60,5,45,4,41,-3.155584309293612,0.08888888888888889,0.6677935914635126,-0.0727000277271466,0.011275801496775192,-0.07012409576208027,6.018251681075886,-0.8529878371232152
20,-2.0,0.5,0.1,60,10,45,4,41,-6.311168618587224,0.08888888888888889,0.6677935914635126,-0.0727000277271466,0.02247641822724982,-0.14024819152416054,12.036503362151771,-1.7059756742464305
20,-2.0,0.5,0.08,45,5,46,4,42,-3.450726322690766,0.08695652173913043,0.6476696610209238,-0.07878815884752512,0.011493176567652332,-0.0750157896237123,6.018251681075886,-0.8529878371232152
20,-2.0,0.5,0.08,45,10,46,4,42,-6.901452645381532,0.08695652173913043,0.6476696610209238,-0.07878815884752512,0.02291148681702308,-0.1500315792474246,12.036503362151771,-1.7059756742464305
20,-2.0,0.5,0.08,60,5,46,4,42,-3.450726322690766,0.08695652173913043,0.6476696610209238,-0.07878815884752512,0.011493176567652332,-0.0750157896237123,6.018251681075886,-0.8529878371232152
20,-2.0,0.5,0.08,60,10,46,4,42,-6.901452645381532,0.08695652173913043,0.6476696610209238,-0.07878815884752512,0.02291148681702308,-0.1500315792474246,12.036503362151771,-1.7059756742464305
20,-2.0,0.5,0.15,45,5,43,4,39,-3.790766428057628,0.09302325581395349,0.6259376100808055,-0.08769226591374832,0.011947724102101159,-0.08815735879203786,6.018251681075886,-0.8818635607321127
20,-2.0,0.5,0.15,45,10,43,4,39,-7.581532856115256,0.09302325581395349,0.6259376100808055,-0.08769226591374832,0.023814852715200705,-0.17631471758407571,12.036503362151771,-1.7637271214642254
20,-2.0,0.5,0.15,60,5,43,4,39,-3.790766428057628,0.09302325581395349,0.6259376100808055,-0.08769226591374832,0.011947724102101159,-0.08815735879203786,6.018251681075886,-0.8818635607321127
20,-2.0,0.5,0.15,60,10,43,4,39,-7.581532856115256,0.09302325581395349,0.6259376100808055,-0.08769226591374832,0.023814852715200705,-0.17631471758407571,12.036503362151771,-1.7637271214642254
20,-2.0,0.0,0.08,45,5,51,2,49,-6.188177023538481,0.0392156862745098,0.4933409836478855,-0.133862647712584,0.014172175369549905,-0.12133680438310747,6.018251681075886,-0.8529878371232152
20,-2.0,0.0,0.08,45,10,51,2,49,-12.376354047076962,0.0392156862745098,0.4933409836478855,-0.133862647712584,0.02825344315459556,-0.24267360876621494,12.036503362151771,-1.7059756742464305
20,-2.0,0.0,0.08,60,5,51,2,49,-6.188177023538481,0.0392156862745098,0.4933409836478855,-0.133862647712584,0.014172175369549905,-0.12133680438310747,6.018251681075886,-0.8529878371232152
20,-2.0,0.0,0.08,60,10,51,2,49,-12.376354047076962,0.0392156862745098,0.4933409836478855,-0.133862647712584,0.02825344315459556,-0.24267360876621494,12.036503362151771,-1.7059756742464305
20,-2.0,0.0,0.1,45,5,50,2,48,-6.413749930443446,0.04,0.48439476670664344,-0.13902258214851554,0.014473580451746385,-0.12827499860886893,6.018251681075886,-0.8529878371232152
20,-2.0,0.0,0.1,45,10,50,2,48,-12.827499860886892,0.04,0.48439476670664344,-0.13902258214851554,0.028852093204999627,-0.25654999721773786,12.036503362151771,-1.7059756742464305
20,-2.0,0.0,0.1,60,5,50,2,48,-6.413749930443446,0.04,0.48439476670664344,-0.13902258214851554,0.014473580451746385,-0.12827499860886893,6.018251681075886,-0.8529878371232152
20,-2.0,0.0,0.1,60,10,50,2,48,-12.827499860886892,0.04,0.48439476670664344,-0.13902258214851554,0.028852093204999627,-0.25654999721773786,12.036503362151771,-1.7059756742464305
20,-2.0,-0.5,0.08,45,5,53,2,51,-6.724424424318729,0.03773584905660377,0.47259164374468005,-0.14265887734151864,0.01457498370074351,-0.12687593253431564,6.018251681075886,-0.8529878371232152
20,-2.0,-0.5,0.08,45,10,53,2,51,-13.448848848637459,0.03773584905660377,0.47259164374468005,-0.14265887734151864,0.029060335854509234,-0.2537518650686313,12.036503362151771,-1.7059756742464305
20,-2.0,-0.5,0.08,60,5,53,2,51,-6.724424424318729,0.03773584905660377,0.47259164374468005,-0.14265887734151864,0.01457498370074351,-0.12687593253431564,6.018251681075886,-0.8529878371232152
20,-2.0,-0.5,0.08,60,10,53,2,51,-13.448848848637459,0.03773584905660377,0.47259164374468005,-0.14265887734151864,0.029060335854509234,-0.2537518650686313,12.036503362151771,-1.7059756742464305
20,-2.0,-0.5,0.1,45,5,51,2,49,-6.850796720447192,0.0392156862745098,0.46795347608136467,-0.14696612372691334,0.014777510817730299,-0.13432934745974887,6.018251681075886,-0.8529878371232152
20,-2.0,-0.5,0.1,45,10,51,2,49,-13.701593440894383,0.0392156862745098,0.46795347608136467,-0.14696612372691334,0.029461869891669802,-0.26865869491949773,12.036503362151771,-1.7059756742464305
20,-2.0,-0.5,0.1,60,5,51,2,49,-6.850796720447192,0.0392156862745098,0.46795347608136467,-0.14696612372691334,0.014777510817730299,-0.13432934745974887,6.018251681075886,-0.8529878371232152
20,-2.0,-0.5,0.1,60,10,51,2,49,-13.701593440894383,0.0392156862745098,0.46795347608136467,-0.14696612372691334,0.029461869891669802,-0.26865869491949773,12.036503362151771,-1.7059756742464305
20,-2.0,0.0,0.15,45,5,48,2,46,-7.048412210515264,0.041666666666666664,0.4608802488640712,-0.15328590494719224,0.015144892905860666,-0.14684192105240132,6.018251681075886,-0.8818635607321127
20,-2.0,0.0,0.15,45,10,48,2,46,-14.096824421030528,0.041666666666666664,0.4608802488640712,-0.15328590494719224,0.030189128983389137,-0.29368384210480264,12.036503362151771,-1.7637271214642254
