threshold,stop_loss_pct,target_price,sharpe_ratio,win_rate,profit_factor,total_pnl,max_drawdown,total_trades
0.65,0.1,0.95,0.0844,0.5,1.1269,0.1345,0.0007,2
0.65,0.1,0.95,0.0844,0.5,1.1269,0.2691,0.0013,2
0.65,0.1,0.95,-0.0158,0.5,0.978,0.0356,0.0007,2
0.65,0.1,0.95,-0.0158,0.5,0.978,0.0712,0.0013,2
0.65,0.15,0.9,-0.0336,0.5,0.9669,0.0428,0.0017,4
0.65,0.15,0.9,-0.0336,0.5,0.9669,0.0857,0.0035,4
0.65,0.1,0.9,-0.0497,0.4,0.9557,0.0476,0.0018,5
0.65,0.1,0.9,-0.0497,0.4,0.9557,0.0952,0.0035,5
0.65,0.15,0.9,-0.0516,0.5,0.9493,0.016,0.0017,4
0.65,0.15,0.9,-0.0516,0.5,0.9493,0.0319,0.0033,4
0.65,0.15,0.95,-0.1192,0.5,0.8445,-0.0875,0.0009,2
0.65,0.15,0.95,-0.1192,0.5,0.8445,-0.1751,0.0018,2
0.65,0.1,0.9,-0.1231,0.4,0.8938,-0.0625,0.0018,5
0.65,0.1,0.9,-0.1231,0.4,0.8938,-0.1249,0.0035,5
0.75,0.2,0.9,-0.1881,0.3333,0.7712,-0.1832,0.0011,3
0.75,0.2,0.9,-0.1881,0.3333,0.7712,-0.3664,0.0022,3
0.65,0.15,0.95,-0.218,0.5,0.7329,-0.1865,0.0009,2
0.65,0.15,0.95,-0.218,0.5,0.7329,-0.3729,0.0018,2
0.75,0.2,0.9,-0.2308,0.3333,0.7273,-0.2527,0.0012,3
0.75,0.2,0.9,-0.2308,0.3333,0.7273,-0.5054,0.0024,3
0.7,0.15,0.9,-0.2328,0.5,0.785,-0.2581,0.0017,4
0.7,0.15,0.9,-0.2328,0.5,0.785,-0.5162,0.0033,4
0.7,0.15,0.9,-0.2627,0.5,0.7615,-0.3145,0.0017,4
0.7,0.15,0.9,-0.2627,0.5,0.7615,-0.629,0.0035,4
0.65,0.2,0.95,-0.2805,0.5,0.6689,-0.3202,0.0011,2
0.65,0.2,0.95,-0.2805,0.5,0.6689,-0.6404,0.0022,2
0.65,0.2,0.9,-0.2853,0.5,0.7497,-0.4613,0.0022,4
0.65,0.2,0.9,-0.2853,0.5,0.7497,-0.9227,0.0045,4
0.75,0.1,0.9,-0.2875,0.25,0.7202,-0.2395,0.0012,4
0.75,0.1,0.9,-0.2875,0.25,0.7202,-0.4789,0.0024,4
0.75,0.1,0.9,-0.2923,0.25,0.7155,-0.246,0.0012,4
0.75,0.1,0.9,-0.2923,0.25,0.7155,-0.492,0.0024,4
0.7,0.1,0.9,-0.3063,0.4,0.7527,-0.3098,0.0018,5
0.7,0.1,0.9,-0.3063,0.4,0.7527,-0.6195,0.0035,5
0.65,0.2,0.9,-0.3225,0.5,0.7208,-0.5129,0.0022,4
0.65,0.2,0.9,-0.3225,0.5,0.7208,-1.0257,0.0044,4
0.7,0.1,0.9,-0.3252,0.4,0.7392,-0.3365,0.0018,5
0.7,0.1,0.9,-0.3252,0.4,0.7392,-0.673,0.0035,5
0.7,0.1,0.95,-0.3659,0.5,0.5889,-0.2228,0.0007,2
0.7,0.1,0.95,-0.3659,0.5,0.5889,-0.4456,0.0013,2
0.65,0.2,0.95,-0.3753,0.5,0.5805,-0.4191,0.0011,2
0.65,0.2,0.95,-0.3753,0.5,0.5805,-0.8383,0.0022,2
0.7,0.1,0.95,-0.3926,0.5,0.5654,-0.2384,0.0007,2
0.7,0.1,0.95,-0.3926,0.5,0.5654,-0.4769,0.0013,2
0.7,0.2,0.9,-0.5031,0.5,0.5904,-0.8187,0.0022,4
0.7,0.2,0.9,-0.5031,0.5,0.5904,-1.6374,0.0045,4
0.7,0.2,0.9,-0.5137,0.5,0.5834,-0.8348,0.0022,4
0.7,0.2,0.9,-0.5137,0.5,0.5834,-1.6696,0.0045,4
0.78,0.15,0.9,-0.5235,0.3333,0.5213,-0.4669,0.0011,3
0.78,0.15,0.9,-0.5235,0.3333,0.5213,-0.9338,0.0023,3
0.7,0.15,0.95,-0.5482,0.5,0.4413,-0.4449,0.0009,2
0.7,0.15,0.95,-0.5482,0.5,0.4413,-0.8898,0.0018,2
0.7,0.15,0.95,-0.5724,0.5,0.4237,-0.4605,0.0009,2
0.7,0.15,0.95,-0.5724,0.5,0.4237,-0.921,0.0018,2
0.78,0.15,0.9,-0.5765,0.3333,0.4876,-0.4732,0.0011,3
0.78,0.15,0.9,-0.5765,0.3333,0.4876,-0.9465,0.0021,3
0.75,0.15,0.9,-0.6132,0.25,0.5037,-0.7616,0.0017,4
0.75,0.15,0.9,-0.6132,0.25,0.5037,-1.5232,0.0035,4
0.65,0.2,0.85,-0.6251,0.1667,0.5742,-0.6357,0.0022,12
0.65,0.2,0.85,-0.6251,0.1667,0.5742,-1.2713,0.0044,12
0.78,0.2,0.9,-0.6354,0.3333,0.4415,-0.6716,0.0013,3
0.78,0.2,0.9,-0.6354,0.3333,0.4415,-1.3432,0.0027,3
0.75,0.15,0.9,-0.6455,0.25,0.4846,-0.8266,0.0018,4
0.75,0.15,0.9,-0.6455,0.25,0.4846,-1.6531,0.0036,4
0.7,0.2,0.95,-0.6816,0.5,0.3496,-0.6776,0.0011,2
0.7,0.2,0.95,-0.6816,0.5,0.3496,-1.3552,0.0022,2
0.8,0.15,0.9,-0.6873,0.3333,0.4338,-0.606,0.0012,3
0.8,0.15,0.9,-0.6873,0.3333,0.4338,-1.212,0.0024,3
0.7,0.2,0.95,-0.7035,0.5,0.3356,-0.6932,0.0011,2
0.7,0.2,0.95,-0.7035,0.5,0.3356,-1.3864,0.0022,2
