threshold,stop_loss_pct,target_price,required_ticks,position_size_usdc,sharpe_ratio,win_rate,profit_factor,total_pnl,max_drawdown,total_trades
0.65,0.2,0.95,3,5,-5.6507,0.0083,0.0627,-6.1223,0.0091,120
0.65,0.2,0.95,3,10,-5.6507,0.0083,0.0627,-12.2447,0.0182,120
0.7,0.2,0.95,3,5,-5.6507,0.0083,0.0627,-6.1223,0.0091,120
0.7,0.2,0.95,3,10,-5.6507,0.0083,0.0627,-12.2447,0.0182,120
0.75,0.2,0.95,3,5,-5.6507,0.0083,0.0627,-6.1223,0.0091,120
0.75,0.2,0.95,3,10,-5.6507,0.0083,0.0627,-12.2447,0.0182,120
0.65,0.15,0.95,3,5,-5.9872,0.0083,0.0644,-5.8754,0.0088,120
0.65,0.15,0.95,3,10,-5.9872,0.0083,0.0644,-11.7507,0.0177,120
0.7,0.15,0.95,3,5,-5.9872,0.0083,0.0644,-5.8754,0.0088,120
0.7,0.15,0.95,3,10,-5.9872,0.0083,0.0644,-11.7507,0.0177,120
0.75,0.15,0.95,3,5,-5.9872,0.0083,0.0644,-5.8754,0.0088,120
0.75,0.15,0.95,3,10,-5.9872,0.0083,0.0644,-11.7507,0.0177,120
0.78,0.15,0.95,3,5,-5.9872,0.0083,0.0644,-5.8754,0.0088,120
0.78,0.15,0.95,3,10,-5.9872,0.0083,0.0644,-11.7507,0.0177,120
0.8,0.15,0.95,3,5,-5.9872,0.0083,0.0644,-5.8754,0.0088,120
0.8,0.15,0.95,3,10,-5.9872,0.0083,0.0644,-11.7507,0.0177,120
0.78,0.2,0.95,3,5,-6.4604,0.0084,0.0708,-5.0416,0.008,119
0.78,0.2,0.95,3,10,-6.4604,0.0084,0.0708,-10.0831,0.016,119
0.8,0.2,0.95,3,5,-6.4604,0.0084,0.0708,-5.0416,0.008,119
0.8,0.2,0.95,3,10,-6.4604,0.0084,0.0708,-10.0831,0.016,119
0.65,0.2,0.95,2,5,-6.7877,0.0068,0.0495,-7.0403,0.0107,146
0.65,0.2,0.95,2,10,-6.7877,0.0068,0.0495,-14.0807,0.0213,146
0.7,0.2,0.95,2,5,-6.7877,0.0068,0.0495,-7.0403,0.0107,146
0.7,0.2,0.95,2,10,-6.7877,0.0068,0.0495,-14.0807,0.0213,146
0.75,0.2,0.95,2,5,-6.7877,0.0068,0.0495,-7.0403,0.0107,146
0.75,0.2,0.95,2,10,-6.7877,0.0068,0.0495,-14.0807,0.0213,146
0.65,0.1,0.95,3,5,-6.8502,0.0083,0.0637,-5.9506,0.0089,121
0.65,0.1,0.95,3,10,-6.8502,0.0083,0.0637,-11.9012,0.0179,121
