threshold,stop_loss_pct,target_price,required_ticks,position_size_usdc,sharpe_ratio,win_rate,profit_factor,total_pnl,max_drawdown,total_trades
0.65,0.1,0.95,3,5,-5.6095,0.0887,0.0535,-10.7505,0.0138,124
0.65,0.1,0.95,3,10,-5.6095,0.0887,0.0535,-21.501,0.0276,124
0.65,0.15,0.95,3,5,-5.6095,0.0887,0.0535,-10.7505,0.0138,124
0.65,0.15,0.95,3,10,-5.6095,0.0887,0.0535,-21.501,0.0276,124
0.65,0.2,0.95,3,5,-5.6095,0.0887,0.0535,-10.7505,0.0138,124
0.65,0.2,0.95,3,10,-5.6095,0.0887,0.0535,-21.501,0.0276,124
0.7,0.1,0.95,3,5,-5.6095,0.0887,0.0535,-10.7505,0.0138,124
0.7,0.1,0.95,3,10,-5.6095,0.0887,0.0535,-21.501,0.0276,124
0.7,0.15,0.95,3,5,-5.6095,0.0887,0.0535,-10.7505,0.0138,124
0.7,0.15,0.95,3,10,-5.6095,0.0887,0.0535,-21.501,0.0276,124
0.7,0.2,0.95,3,5,-5.6095,0.0887,0.0535,-10.7505,0.0138,124
0.7,0.2,0.95,3,10,-5.6095,0.0887,0.0535,-21.501,0.0276,124
0.75,0.1,0.95,3,5,-5.6095,0.0887,0.0535,-10.7505,0.0138,124
0.75,0.1,0.95,3,10,-5.6095,0.0887,0.0535,-21.501,0.0276,124
0.75,0.15,0.95,3,5,-5.6095,0.0887,0.0535,-10.7505,0.0138,124
0.75,0.15,0.95,3,10,-5.6095,0.0887,0.0535,-21.501,0.0276,124
0.75,0.2,0.95,3,5,-5.6095,0.0887,0.0535,-10.7505,0.0138,124
0.75,0.2,0.95,3,10,-5.6095,0.0887,0.0535,-21.501,0.0276,124
0.78,0.1,0.95,3,5,-5.6095,0.0887,0.0535,-10.7505,0.0138,124
0.78,0.1,0.95,3,10,-5.6095,0.0887,0.0535,-21.501,0.0276,124
0.78,0.15,0.95,3,5,-5.6095,0.0887,0.0535,-10.7505,0.0138,124
0.78,0.15,0.95,3,10,-5.6095,0.0887,0.0535,-21.501,0.0276,124
0.78,0.2,0.95,3,5,-5.6095,0.0887,0.0535,-10.7505,0.0138,124
