ma_window,entry_zscore,exit_zscore,stop_loss_pct,timeout_minutes,position_size_pusd,total_trades,winners,losers,total_pnl,win_rate,profit_factor,sharpe_ratio,max_drawdown,avg_trade_pnl,best_trade,worst_trade
30,-1.5,0.5,0.08,45,5,54,0,54,-33.34603967906711,0.0,0.0,-3.1849421398109,0.03802440225216606,-0.6175192533160576,-0.32163742690058506,-0.9259259259259258
30,-1.5,0.5,0.08,45,10,54,0,54,-66.69207935813422,0.0,0.0,-3.1849421398109,0.07604880450433325,-1.2350385066321152,-0.6432748538011701,-1.8518518518518516
30,-1.5,0.5,0.08,60,5,54,0,54,-33.34603967906711,0.0,0.0,-3.1849421398109,0.03802440225216606,-0.6175192533160576,-0.32163742690058506,-0.9259259259259258
30,-1.5,0.5,0.08,60,10,54,0,54,-66.69207935813422,0.0,0.0,-3.1849421398109,0.07604880450433325,-1.2350385066321152,-0.6432748538011701,-1.8518518518518516
30,-1.5,-0.5,0.08,45,5,58,0,58,-35.531539116097264,0.0,0.0,-3.2004705786500254,0.04020990168919616,-0.6126127433809873,-0.32163742690058506,-0.9259259259259258
30,-1.5,-0.5,0.08,45,10,58,0,58,-71.06307823219453,0.0,0.0,-3.2004705786500254,0.08041980337839368,-1.2252254867619745,-0.6432748538011701,-1.8518518518518516
30,-1.5,-0.5,0.08,60,5,58,0,58,-35.531539116097264,0.0,0.0,-3.2004705786500254,0.04020990168919616,-0.6126127433809873,-0.32163742690058506,-0.9259259259259258
30,-1.5,-0.5,0.08,60,10,58,0,58,-71.06307823219453,0.0,0.0,-3.2004705786500254,0.08041980337839368,-1.2252254867619745,-0.6432748538011701,-1.8518518518518516
30,-1.5,0.0,0.08,45,5,56,0,56,-34.71591297516992,0.0,0.0,-3.249982365089678,0.03939427554826887,-0.6199270174137486,-0.32163742690058506,-0.9259259259259258
30,-1.5,0.0,0.08,45,10,56,0,56,-69.43182595033984,0.0,0.0,-3.249982365089678,0.07878855109653887,-1.2398540348274971,-0.6432748538011701,-1.8518518518518516
30,-1.5,0.0,0.08,60,5,56,0,56,-34.71591297516992,0.0,0.0,-3.249982365089678,0.03939427554826887,-0.6199270174137486,-0.32163742690058506,-0.9259259259259258
30,-1.5,0.0,0.08,60,10,56,0,56,-69.43182595033984,0.0,0.0,-3.249982365089678,0.07878855109653887,-1.2398540348274971,-0.6432748538011701,-1.8518518518518516
20,-1.5,-0.5,0.08,45,5,59,0,59,-34.766620351662844,0.0,0.0,-3.289138888490526,0.039444982924761805,-0.589264751723099,-0.32163742690058506,-0.9259259259259258
20,-1.5,-0.5,0.08,45,10,59,0,59,-69.53324070332569,0.0,0.0,-3.289138888490526,0.07888996584952519,-1.178529503446198,-0.6432748538011701,-1.8518518518518516
20,-1.5,-0.5,0.08,60,5,59,0,59,-34.766620351662844,0.0,0.0,-3.289138888490526,0.039444982924761805,-0.589264751723099,-0.32163742690058506,-0.9259259259259258
20,-1.5,-0.5,0.08,60,10,59,0,59,-69.53324070332569,0.0,0.0,-3.289138888490526,0.07888996584952519,-1.178529503446198,-0.6432748538011701,-1.8518518518518516
20,-1.5,0.5,0.08,45,5,54,0,54,-32.1871815206933,0.0,0.0,-3.293079993033811,0.03686554409379232,-0.5960589170498759,-0.32163742690058506,-0.9259259259259258
20,-1.5,0.5,0.08,45,10,54,0,54,-64.3743630413866,0.0,0.0,-3.293079993033811,0.07373108818758602,-1.1921178340997518,-0.6432748538011701,-1.8518518518518516
20,-1.5,0.5,0.08,60,5,54,0,54,-32.1871815206933,0.0,0.0,-3.293079993033811,0.03686554409379232,-0.5960589170498759,-0.32163742690058506,-0.9259259259259258
20,-1.5,0.5,0.08,60,10,54,0,54,-64.3743630413866,0.0,0.0,-3.293079993033811,0.07373108818758602,-1.1921178340997518,-0.6432748538011701,-1.8518518518518516
30,-2.5,0.5,0.08,45,5,25,0,25,-14.251868121708677,0.0,0.0,-3.313219691097906,0.01893023069480796,-0.5700747248683471,-0.32163742690058506,-0.9259259259259258
30,-2.5,0.5,0.08,45,10,25,0,25,-28.503736243417354,0.0,0.0,-3.313219691097906,0.0378604613896166,-1.1401494497366942,-0.6432748538011701,-1.8518518518518516
30,-2.5,0.5,0.08,60,5,25,0,25,-14.251868121708677,0.0,0.0,-3.313219691097906,0.01893023069480796,-0.5700747248683471,-0.32163742690058506,-0.9259259259259258
