threshold,stop_loss_pct,target_price,required_ticks,position_size_usdc,sharpe_ratio,win_rate,profit_factor,total_pnl,max_drawdown,total_trades
0.65,0.1,0.85,2,5,0.0,0.0,0.0,-0.5795,0.0006,1
0.65,0.1,0.85,2,10,0.0,0.0,0.0,-1.159,0.0012,1
0.65,0.1,0.85,3,5,0.0,0.0,0.0,-0.6012,0.0006,1
0.65,0.1,0.85,3,10,0.0,0.0,0.0,-1.2024,0.0012,1
0.65,0.1,0.9,2,5,0.0,0.0,0.0,-0.5795,0.0006,1
0.65,0.1,0.9,2,10,0.0,0.0,0.0,-1.159,0.0012,1
0.65,0.1,0.9,3,5,0.0,0.0,0.0,-0.6012,0.0006,1
0.65,0.1,0.9,3,10,0.0,0.0,0.0,-1.2024,0.0012,1
0.65,0.1,0.95,2,5,0.0,0.0,0.0,-0.5795,0.0006,1
0.65,0.1,0.95,2,10,0.0,0.0,0.0,-1.159,0.0012,1
0.65,0.1,0.95,3,5,0.0,0.0,0.0,-0.6012,0.0006,1
0.65,0.1,0.95,3,10,0.0,0.0,0.0,-1.2024,0.0012,1
0.65,0.15,0.85,2,5,0.0,0.0,0.0,-0.8148,0.0008,1
0.65,0.15,0.85,2,10,0.0,0.0,0.0,-1.6296,0.0017,1
0.65,0.15,0.85,3,5,0.0,0.0,0.0,-0.8082,0.0008,1
0.65,0.15,0.85,3,10,0.0,0.0,0.0,-1.6163,0.0017,1
0.65,0.15,0.9,2,5,0.0,0.0,0.0,-0.8148,0.0008,1
0.65,0.15,0.9,2,10,0.0,0.0,0.0,-1.6296,0.0017,1
0.65,0.15,0.9,3,5,0.0,0.0,0.0,-0.8082,0.0008,1
0.65,0.15,0.9,3,10,0.0,0.0,0.0,-1.6163,0.0017,1
0.65,0.15,0.95,2,5,0.0,0.0,0.0,-0.8148,0.0008,1
0.65,0.15,0.95,2,10,0.0,0.0,0.0,-1.6296,0.0017,1
0.65,0.15,0.95,3,5,0.0,0.0,0.0,-0.8082,0.0008,1
0.65,0.15,0.95,3,10,0.0,0.0,0.0,-1.6163,0.0017,1
0.65,0.2,0.85,2,5,0.0,0.0,0.0,-0.8698,0.0009,1
0.65,0.2,0.85,2,10,0.0,0.0,0.0,-1.7397,0.0018,1
0.65,0.2,0.85,3,5,0.0,0.0,0.0,-0.8901,0.0009,1
0.65,0.2,0.85,3,10,0.0,0.0,0.0,-1.7802,0.0018,1
0.65,0.2,0.9,2,5,0.0,0.0,0.0,-0.8698,0.0009,1
0.65,0.2,0.9,2,10,0.0,0.0,0.0,-1.7397,0.0018,1
0.65,0.2,0.9,3,5,0.0,0.0,0.0,-0.8901,0.0009,1
0.65,0.2,0.9,3,10,0.0,0.0,0.0,-1.7802,0.0018,1
0.65,0.2,0.95,2,5,0.0,0.0,0.0,-0.8698,0.0009,1
0.65,0.2,0.95,2,10,0.0,0.0,0.0,-1.7397,0.0018,1
