threshold,stop_loss_pct,target_price,required_ticks,position_size_usdc,sharpe_ratio,win_rate,profit_factor,total_pnl,max_drawdown,total_trades
0.65,0.2,0.95,3,5,-4.0803,0.0122,0.1777,-6.0039,0.0103,164
0.65,0.2,0.95,3,10,-4.0803,0.0122,0.1777,-12.0079,0.0206,164
0.65,0.1,0.95,3,5,-4.2404,0.012,0.2048,-6.1672,0.011,167
0.65,0.1,0.95,3,10,-4.2404,0.012,0.2048,-12.3344,0.0221,167
0.65,0.15,0.95,3,5,-4.4753,0.0061,0.1521,-6.6807,0.0108,165
0.65,0.15,0.95,3,10,-4.4753,0.0061,0.1521,-13.3614,0.0215,165
0.7,0.2,0.95,3,5,-4.7401,0.0122,0.1494,-6.3524,0.0107,164
0.7,0.2,0.95,3,10,-4.7401,0.0122,0.1494,-12.7048,0.0213,164
0.65,0.2,0.95,2,5,-4.8186,0.0103,0.1451,-8.1259,0.0132,195
0.65,0.2,0.95,2,10,-4.8186,0.0103,0.1451,-16.2517,0.0264,195
0.7,0.1,0.95,3,5,-5.0476,0.012,0.1717,-6.5983,0.0114,167
0.7,0.1,0.95,3,10,-5.0476,0.012,0.1717,-13.1966,0.0228,167
0.65,0.1,0.95,2,5,-5.0812,0.0101,0.169,-8.0702,0.0137,198
0.65,0.1,0.95,2,10,-5.0812,0.0101,0.169,-16.1404,0.0273,198
0.7,0.15,0.95,3,5,-5.1923,0.0061,0.1337,-6.1987,0.0103,164
0.7,0.15,0.95,3,10,-5.1923,0.0061,0.1337,-12.3973,0.0205,164
0.65,0.15,0.95,2,5,-5.2623,0.0051,0.1276,-8.5244,0.0134,196
0.65,0.15,0.95,2,10,-5.2623,0.0051,0.1276,-17.0488,0.0268,196
0.7,0.2,0.95,2,5,-5.389,0.0103,0.1245,-8.44,0.0135,195
0.7,0.2,0.95,2,10,-5.389,0.0103,0.1245,-16.88,0.027,195
0.75,0.2,0.95,3,5,-5.6425,0.0122,0.1169,-6.7531,0.0111,164
0.75,0.2,0.95,3,10,-5.6425,0.0122,0.1169,-13.5061,0.0221,164
0.7,0.1,0.95,2,5,-5.7316,0.0101,0.1495,-8.3754,0.014,198
0.7,0.1,0.95,2,10,-5.7316,0.0101,0.1495,-16.7508,0.0279,198
0.7,0.15,0.95,2,5,-5.9386,0.0051,0.1136,-8.0002,0.0128,195
0.7,0.15,0.95,2,10,-5.9386,0.0051,0.1136,-16.0003,0.0257,195
0.75,0.2,0.95,2,5,-6.2257,0.0103,0.0975,-8.8515,0.0139,195
0.75,0.2,0.95,2,10,-6.2257,0.0103,0.0975,-17.703,0.0278,195
0.75,0.15,0.95,3,5,-6.4265,0.0061,0.1001,-6.5993,0.0107,164
0.75,0.15,0.95,3,10,-6.4265,0.0061,0.1001,-13.1986,0.0213,164
0.78,0.2,0.95,3,5,-6.4635,0.0122,0.0817,-7.1854,0.0113,164
0.78,0.2,0.95,3,10,-6.4635,0.0122,0.0817,-14.3708,0.0226,164
0.75,0.1,0.95,3,5,-6.6529,0.012,0.1177,-6.7858,0.0112,166
0.75,0.1,0.95,3,10,-6.6529,0.012,0.1177,-13.5716,0.0223,166
0.8,0.2,0.95,3,5,-6.944,0.0061,0.0646,-7.4521,0.0115,164
0.8,0.2,0.95,3,10,-6.944,0.0061,0.0646,-14.9042,0.023,164
0.65,0.2,0.9,3,5,-6.9951,0.0088,0.1144,-10.1005,0.0162,226
0.65,0.2,0.9,3,10,-6.9951,0.0088,0.1144,-20.2011,0.0323,226
0.75,0.15,0.95,2,5,-7.1442,0.0051,0.0853,-8.4117,0.0132,195
0.75,0.15,0.95,2,10,-7.1442,0.0051,0.0853,-16.8234,0.0265,195
0.75,0.1,0.95,2,5,-7.3309,0.0102,0.0992,-8.6827,0.0138,197
0.75,0.1,0.95,2,10,-7.3309,0.0102,0.0992,-17.3655,0.0276,197
0.78,0.15,0.95,3,5,-7.3814,0.0061,0.0789,-6.8523,0.0109,164
0.78,0.15,0.95,3,10,-7.3814,0.0061,0.0789,-13.7045,0.0218,164
0.78,0.2,0.95,2,5,-7.4541,0.0103,0.072,-8.2673,0.0131,194
0.78,0.2,0.95,2,10,-7.4541,0.0103,0.072,-16.5346,0.0263,194
0.65,0.15,0.9,3,5,-7.6989,0.0088,0.0945,-10.74,0.0165,227
0.65,0.15,0.9,3,10,-7.6989,0.0088,0.0945,-21.48,0.033,227
0.65,0.1,0.9,3,5,-7.8478,0.0088,0.1147,-10.1724,0.0163,228
0.65,0.1,0.9,3,10,-7.8478,0.0088,0.1147,-20.3448,0.0326,228
0.8,0.2,0.95,2,5,-7.9379,0.0052,0.058,-8.525,0.0133,194
0.8,0.2,0.95,2,10,-7.9379,0.0052,0.058,-17.0499,0.0267,194
0.7,0.2,0.9,3,5,-7.9416,0.0088,0.0959,-10.4304,0.0165,226
0.7,0.2,0.9,3,10,-7.9416,0.0088,0.0959,-20.8609,0.033,226
0.8,0.15,0.95,3,5,-7.9648,0.0061,0.0671,-6.9927,0.0111,164
0.8,0.15,0.95,3,10,-7.9648,0.0061,0.0671,-13.9854,0.0221,164
0.78,0.1,0.95,3,5,-8.0578,0.0061,0.0756,-7.3414,0.0114,165
0.78,0.1,0.95,3,10,-8.0578,0.0061,0.0756,-14.6827,0.0229,165
0.65,0.15,0.85,3,5,-8.0999,0.0123,0.1152,-11.6489,0.018,244
0.65,0.15,0.85,3,10,-8.0999,0.0123,0.1152,-23.2979,0.0361,244
0.78,0.15,0.95,2,5,-8.1397,0.0051,0.0653,-8.703,0.0135,195
0.78,0.15,0.95,2,10,-8.1397,0.0051,0.0653,-17.406,0.0271,195
0.8,0.1,0.95,3,5,-8.671,0.0061,0.0641,-7.5238,0.0116,165
0.8,0.1,0.95,3,10,-8.671,0.0061,0.0641,-15.0475,0.0232,165
0.78,0.1,0.95,2,5,-8.715,0.0051,0.063,-9.2241,0.0141,196
0.78,0.1,0.95,2,10,-8.715,0.0051,0.063,-18.4483,0.0282,196
0.7,0.15,0.85,3,5,-9.1714,0.0123,0.1042,-11.1283,0.0175,243
0.7,0.15,0.85,3,10,-9.1714,0.0123,0.1042,-22.2565,0.035,243
0.7,0.1,0.9,3,5,-9.1718,0.0088,0.0963,-10.5023,0.0166,228
0.7,0.1,0.9,3,10,-9.1718,0.0088,0.0963,-21.0046,0.0333,228
0.8,0.15,0.95,2,5,-9.1765,0.0052,0.0601,-8.0263,0.0128,194
0.8,0.15,0.95,2,10,-9.1765,0.0052,0.0601,-16.0526,0.0257,194
0.65,0.2,0.9,2,5,-9.1795,0.0066,0.0851,-14.8689,0.0228,301
0.65,0.2,0.9,2,10,-9.1795,0.0066,0.0851,-29.7379,0.0456,301
0.7,0.15,0.9,3,5,-9.2327,0.0088,0.0801,-10.2394,0.016,226
0.7,0.15,0.9,3,10,-9.2327,0.0088,0.0801,-20.4787,0.032,226
0.8,0.1,0.95,2,5,-9.3219,0.0051,0.0567,-8.827,0.0137,195
0.8,0.1,0.95,2,10,-9.3219,0.0051,0.0567,-17.6541,0.0273,195
0.75,0.2,0.9,3,5,-9.4961,0.0088,0.0635,-11.0077,0.0169,226
0.75,0.2,0.9,3,10,-9.4961,0.0088,0.0635,-22.0154,0.0337,226
0.65,0.1,0.85,3,5,-9.9003,0.0123,0.0945,-11.2265,0.0174,244
0.65,0.1,0.85,3,10,-9.9003,0.0123,0.0945,-22.4529,0.0349,244
0.65,0.15,0.9,2,5,-10.239,0.0066,0.0745,-14.5693,0.0222,301
0.65,0.15,0.9,2,10,-10.239,0.0066,0.0745,-29.1386,0.0444,301
0.65,0.2,0.85,3,5,-10.3451,0.0041,0.0638,-11.0965,0.0171,241
0.65,0.2,0.85,3,10,-10.3451,0.0041,0.0638,-22.1931,0.0341,241
0.7,0.2,0.9,2,5,-10.4799,0.0067,0.0758,-14.2559,0.0222,300
0.7,0.2,0.9,2,10,-10.4799,0.0067,0.0758,-28.5118,0.0443,300
0.78,0.2,0.9,3,5,-10.6264,0.0088,0.0387,-11.4498,0.0171,226
0.78,0.2,0.9,3,10,-10.6264,0.0088,0.0387,-22.8996,0.0342,226
0.65,0.1,0.9,2,5,-10.7082,0.0066,0.0812,-14.7156,0.0226,303
0.65,0.1,0.9,2,10,-10.7082,0.0066,0.0812,-29.4313,0.0452,303
0.75,0.15,0.9,3,5,-11.1896,0.0088,0.0582,-10.6187,0.0164,226
0.75,0.15,0.9,3,10,-11.1896,0.0088,0.0582,-21.2374,0.0327,226
0.8,0.2,0.9,3,5,-11.2006,0.0044,0.0273,-11.709,0.0173,226
0.8,0.2,0.9,3,10,-11.2006,0.0044,0.0273,-23.418,0.0346,226
0.7,0.1,0.85,3,5,-11.4024,0.0123,0.0784,-11.5363,0.0177,244
0.7,0.1,0.85,3,10,-11.4024,0.0123,0.0784,-23.0726,0.0355,244
0.65,0.15,0.85,2,5,-11.5104,0.0093,0.0823,-15.6172,0.0239,322
0.65,0.15,0.85,2,10,-11.5104,0.0093,0.0823,-31.2343,0.0477,322
0.75,0.15,0.85,3,5,-11.6497,0.0083,0.0543,-12.1137,0.0181,242
0.75,0.15,0.85,3,10,-11.6497,0.0083,0.0543,-24.2274,0.0362,242
0.65,0.1,0.85,2,5,-11.7779,0.0093,0.0889,-15.7125,0.0242,324
0.65,0.1,0.85,2,10,-11.7779,0.0093,0.0889,-31.4251,0.0484,324
0.7,0.2,0.85,3,5,-12.1196,0.0041,0.0469,-11.4064,0.0174,241
0.7,0.2,0.85,3,10,-12.1196,0.0041,0.0469,-22.8127,0.0347,241
0.75,0.1,0.9,3,5,-12.1266,0.0088,0.0652,-10.5131,0.0164,227
0.75,0.1,0.9,3,10,-12.1266,0.0088,0.0652,-21.0261,0.0328,227
0.7,0.15,0.9,2,5,-12.159,0.0067,0.0644,-14.0302,0.0216,300
0.7,0.15,0.9,2,10,-12.159,0.0067,0.0644,-28.0605,0.0433,300
0.7,0.1,0.9,2,5,-12.3747,0.0066,0.0707,-14.44,0.0223,302
0.7,0.1,0.9,2,10,-12.3747,0.0066,0.0707,-28.88,0.0446,302
0.75,0.2,0.9,2,5,-12.531,0.0067,0.0495,-14.8775,0.0226,300
0.75,0.2,0.9,2,10,-12.531,0.0067,0.0495,-29.7551,0.0451,300
0.78,0.15,0.9,3,5,-12.733,0.0088,0.0398,-10.9373,0.0166,226
0.78,0.15,0.9,3,10,-12.733,0.0088,0.0398,-21.8746,0.0332,226
0.65,0.2,0.85,2,5,-12.8105,0.0062,0.0533,-15.992,0.0241,321
0.65,0.2,0.85,2,10,-12.8105,0.0062,0.0533,-31.984,0.0482,321
0.7,0.1,0.85,2,5,-13.0937,0.0093,0.0806,-15.4048,0.0239,323
0.7,0.1,0.85,2,10,-13.0937,0.0093,0.0806,-30.8095,0.0478,323
0.78,0.15,0.85,3,5,-13.1362,0.0083,0.0315,-12.5516,0.0185,242
0.78,0.15,0.85,3,10,-13.1362,0.0083,0.0315,-25.1032,0.0371,242
0.7,0.15,0.85,2,5,-13.3707,0.0093,0.074,-15.06,0.0233,321
0.7,0.15,0.85,2,10,-13.3707,0.0093,0.074,-30.1201,0.0466,321
0.8,0.15,0.9,3,5,-13.7062,0.0044,0.0281,-11.1965,0.0168,226
0.8,0.15,0.9,3,10,-13.7062,0.0044,0.0281,-22.393,0.0336,226
0.75,0.1,0.85,3,5,-13.8905,0.0123,0.0617,-11.3042,0.0175,243
0.75,0.1,0.85,3,10,-13.8905,0.0123,0.0617,-22.6085,0.035,243
0.8,0.15,0.85,3,5,-13.8932,0.0083,0.0181,-12.8092,0.0188,242
0.8,0.15,0.85,3,10,-13.8932,0.0083,0.0181,-25.6184,0.0376,242
0.78,0.1,0.9,3,5,-14.0468,0.0044,0.0347,-11.58,0.0172,227
0.78,0.1,0.9,3,10,-14.0468,0.0044,0.0347,-23.1601,0.0344,227
0.78,0.2,0.9,2,5,-14.0753,0.0067,0.0297,-15.3429,0.0228,300
0.78,0.2,0.9,2,10,-14.0753,0.0067,0.0297,-30.6858,0.0457,300
0.75,0.2,0.85,3,5,-14.3657,0.0041,0.0275,-11.7626,0.0177,241
0.75,0.2,0.85,3,10,-14.3657,0.0041,0.0275,-23.5252,0.0355,241
0.75,0.15,0.9,2,5,-14.7019,0.0067,0.0475,-14.4198,0.022,300
0.75,0.15,0.9,2,10,-14.7019,0.0067,0.0475,-28.8397,0.0441,300
0.8,0.2,0.9,2,5,-14.7269,0.0033,0.0217,-15.5939,0.023,300
0.8,0.2,0.9,2,10,-14.7269,0.0033,0.0217,-31.1878,0.046,300
0.8,0.1,0.9,3,5,-14.8177,0.0044,0.0272,-11.755,0.0174,227
0.8,0.1,0.9,3,10,-14.8177,0.0044,0.0272,-23.51,0.0347,227
0.78,0.2,0.85,3,5,-15.6499,0.0041,0.0152,-11.9875,0.018,241
0.78,0.2,0.85,3,10,-15.6499,0.0041,0.0152,-23.9751,0.0359,241
0.7,0.2,0.85,2,5,-15.9408,0.0063,0.0439,-15.3609,0.0234,320
0.7,0.2,0.85,2,10,-15.9408,0.0063,0.0439,-30.7218,0.0469,320
0.75,0.1,0.9,2,5,-15.9475,0.0066,0.0505,-14.3886,0.0221,301
0.75,0.1,0.9,2,10,-15.9475,0.0066,0.0505,-28.7771,0.0442,301
0.8,0.2,0.85,3,5,-16.2071,0.0041,0.0084,-12.1124,0.0181,241
0.8,0.2,0.85,3,10,-16.2071,0.0041,0.0084,-24.2248,0.0362,241
0.75,0.15,0.85,2,5,-16.5756,0.0093,0.0496,-15.6698,0.0238,321
0.75,0.15,0.85,2,10,-16.5756,0.0093,0.0496,-31.3397,0.0476,321
0.78,0.1,0.85,3,5,-16.6511,0.0083,0.0327,-11.8691,0.0179,242
0.78,0.1,0.85,3,10,-16.6511,0.0083,0.0327,-23.7382,0.0357,242
0.78,0.15,0.9,2,5,-17.0571,0.0067,0.0304,-14.8141,0.0223,300
0.78,0.15,0.9,2,10,-17.0571,0.0067,0.0304,-29.6281,0.0446,300
0.8,0.15,0.9,2,5,-18.1983,0.0033,0.0222,-15.065,0.0225,300
0.8,0.15,0.9,2,10,-18.1983,0.0033,0.0222,-30.1301,0.045,300
0.8,0.1,0.85,3,5,-18.2044,0.0083,0.0188,-12.1267,0.0181,242
0.8,0.1,0.85,3,10,-18.2044,0.0083,0.0188,-24.2534,0.0362,242
0.78,0.1,0.9,2,5,-18.5135,0.0033,0.0267,-15.4791,0.0229,301
0.78,0.1,0.9,2,10,-18.5135,0.0033,0.0267,-30.9581,0.0459,301
0.75,0.1,0.85,2,5,-18.6907,0.0093,0.0495,-15.6666,0.0238,322
0.75,0.1,0.85,2,10,-18.6907,0.0093,0.0495,-31.3332,0.0476,322
0.75,0.2,0.85,2,5,-18.9876,0.0063,0.029,-15.7268,0.0238,320
0.75,0.2,0.85,2,10,-18.9876,0.0063,0.029,-31.4536,0.0476,320
0.8,0.1,0.9,2,5,-19.5416,0.0033,0.0217,-15.6097,0.0231,301
0.8,0.1,0.9,2,10,-19.5416,0.0033,0.0217,-31.2193,0.0461,301
0.78,0.15,0.85,2,5,-19.6379,0.0063,0.0247,-16.3149,0.0242,320
0.78,0.15,0.85,2,10,-19.6379,0.0063,0.0247,-32.6299,0.0485,320
0.8,0.15,0.85,2,5,-20.9793,0.0063,0.0147,-16.5655,0.0245,320
0.8,0.15,0.85,2,10,-20.9793,0.0063,0.0147,-33.1309,0.049,320
0.78,0.2,0.85,2,5,-21.5869,0.0031,0.0118,-16.1727,0.0241,319
0.78,0.2,0.85,2,10,-21.5869,0.0031,0.0118,-32.3453,0.0481,319
0.8,0.2,0.85,2,5,-22.3064,0.0031,0.0072,-16.2843,0.0242,319
0.8,0.2,0.85,2,10,-22.3064,0.0031,0.0072,-32.5685,0.0484,319
0.78,0.1,0.85,2,5,-25.4712,0.0063,0.0253,-15.7835,0.0237,320
0.78,0.1,0.85,2,10,-25.4712,0.0063,0.0253,-31.5669,0.0474,320
0.8,0.1,0.85,2,5,-28.5081,0.0063,0.015,-16.034,0.024,320
0.8,0.1,0.85,2,10,-28.5081,0.0063,0.015,-32.068,0.0479,320
