threshold,stop_loss_pct,target_price,required_ticks,position_size_usdc,sharpe_ratio,win_rate,profit_factor,total_pnl,max_drawdown,total_trades
0.65,0.15,0.95,3,5,-3.8456,0.1324,0.1685,-10.4961,0.0139,136
0.65,0.15,0.95,3,10,-3.8456,0.1324,0.1685,-20.9923,0.0278,136
0.65,0.2,0.95,3,5,-3.8538,0.1324,0.1659,-10.7614,0.0141,136
0.65,0.2,0.95,3,10,-3.8538,0.1324,0.1659,-21.5228,0.0283,136
0.7,0.1,0.95,3,5,-4.3136,0.1333,0.1354,-10.3733,0.0137,135
0.7,0.1,0.95,3,10,-4.3136,0.1333,0.1354,-20.7467,0.0275,135
0.7,0.15,0.95,3,5,-4.3136,0.1333,0.1354,-10.3733,0.0137,135
0.7,0.15,0.95,3,10,-4.3136,0.1333,0.1354,-20.7467,0.0275,135
0.7,0.2,0.95,3,5,-4.3136,0.1333,0.1354,-10.3733,0.0137,135
0.7,0.2,0.95,3,10,-4.3136,0.1333,0.1354,-20.7467,0.0275,135
0.65,0.1,0.95,3,5,-4.3431,0.1314,0.1394,-11.5822,0.015,137
0.65,0.1,0.95,3,10,-4.3431,0.1314,0.1394,-23.1644,0.03,137
0.75,0.1,0.95,3,5,-4.6339,0.1333,0.1137,-10.7204,0.0141,135
0.75,0.1,0.95,3,10,-4.6339,0.1333,0.1137,-21.4407,0.0282,135
0.75,0.15,0.95,3,5,-4.6339,0.1333,0.1137,-10.7204,0.0141,135
0.75,0.15,0.95,3,10,-4.6339,0.1333,0.1137,-21.4407,0.0282,135
0.75,0.2,0.95,3,5,-4.6339,0.1333,0.1137,-10.7204,0.0141,135
0.75,0.2,0.95,3,10,-4.6339,0.1333,0.1137,-21.4407,0.0282,135
0.78,0.1,0.95,3,5,-4.7503,0.1333,0.1054,-10.8525,0.0142,135
0.78,0.1,0.95,3,10,-4.7503,0.1333,0.1054,-21.7049,0.0284,135
0.78,0.15,0.95,3,5,-4.7503,0.1333,0.1054,-10.8525,0.0142,135
0.78,0.15,0.95,3,10,-4.7503,0.1333,0.1054,-21.7049,0.0284,135
0.78,0.2,0.95,3,5,-4.7503,0.1333,0.1054,-10.8525,0.0142,135
0.78,0.2,0.95,3,10,-4.7503,0.1333,0.1054,-21.7049,0.0284,135
0.8,0.1,0.95,3,5,-4.9816,0.1333,0.0876,-11.1347,0.0145,135
0.8,0.1,0.95,3,10,-4.9816,0.1333,0.0876,-22.2695,0.029,135
0.8,0.15,0.95,3,5,-4.9816,0.1333,0.0876,-11.1347,0.0145,135
0.8,0.15,0.95,3,10,-4.9816,0.1333,0.0876,-22.2695,0.029,135
0.8,0.2,0.95,3,5,-4.9816,0.1333,0.0876,-11.1347,0.0145,135
0.8,0.2,0.95,3,10,-4.9816,0.1333,0.0876,-22.2695,0.029,135
0.65,0.2,0.95,2,5,-5.1136,0.1404,0.2243,-9.1037,0.0135,178
0.65,0.2,0.95,2,10,-5.1136,0.1404,0.2243,-18.2074,0.027,178
0.65,0.15,0.95,2,5,-5.1481,0.1404,0.2261,-8.9696,0.0134,178
0.65,0.15,0.95,2,10,-5.1481,0.1404,0.2261,-17.9391,0.0268,178
0.65,0.2,0.9,2,5,-5.2135,0.1584,0.1637,-13.8037,0.0188,202
0.65,0.2,0.9,2,10,-5.2135,0.1584,0.1637,-27.6074,0.0376,202
0.65,0.15,0.9,2,5,-5.2217,0.1584,0.1647,-13.6696,0.0187,202
0.65,0.15,0.9,2,10,-5.2217,0.1584,0.1647,-27.3392,0.0373,202
0.65,0.1,0.9,2,5,-5.6496,0.1576,0.1481,-14.4503,0.0195,203
0.65,0.1,0.9,2,10,-5.6496,0.1576,0.1481,-28.9005,0.0389,203
0.65,0.2,0.9,3,5,-5.6789,0.1634,0.2066,-9.3261,0.0131,153
0.65,0.2,0.9,3,10,-5.6789,0.1634,0.2066,-18.6521,0.0263,153
0.7,0.1,0.9,2,5,-5.7117,0.1592,0.1443,-13.409,0.0184,201
0.7,0.1,0.9,2,10,-5.7117,0.1592,0.1443,-26.8181,0.0367,201
0.7,0.15,0.9,2,5,-5.7117,0.1592,0.1443,-13.409,0.0184,201
0.7,0.15,0.9,2,10,-5.7117,0.1592,0.1443,-26.8181,0.0367,201
0.7,0.2,0.9,2,5,-5.7117,0.1592,0.1443,-13.409,0.0184,201
0.7,0.2,0.9,2,10,-5.7117,0.1592,0.1443,-26.8181,0.0367,201
0.65,0.15,0.9,3,5,-5.8162,0.1634,0.2099,-9.0608,0.0129,153
0.65,0.15,0.9,3,10,-5.8162,0.1634,0.2099,-18.1216,0.0258,153
0.65,0.1,0.95,2,5,-6.0156,0.1397,0.202,-9.7678,0.0142,179
0.65,0.1,0.95,2,10,-6.0156,0.1397,0.202,-19.5356,0.0284,179
0.65,0.2,0.85,2,5,-6.1217,0.1636,0.169,-16.3157,0.0216,214
0.65,0.2,0.85,2,10,-6.1217,0.1636,0.169,-32.6314,0.0432,214
0.65,0.15,0.85,2,5,-6.1389,0.1636,0.1699,-16.1816,0.0215,214
0.65,0.15,0.85,2,10,-6.1389,0.1636,0.1699,-32.3632,0.0429,214
0.75,0.1,0.9,2,5,-6.1592,0.1592,0.1222,-13.8845,0.0188,201
0.75,0.1,0.9,2,10,-6.1592,0.1592,0.1222,-27.769,0.0377,201
0.75,0.15,0.9,2,5,-6.1592,0.1592,0.1222,-13.8845,0.0188,201
0.75,0.15,0.9,2,10,-6.1592,0.1592,0.1222,-27.769,0.0377,201
0.75,0.2,0.9,2,5,-6.1592,0.1592,0.1222,-13.8845,0.0188,201
0.75,0.2,0.9,2,10,-6.1592,0.1592,0.1222,-27.769,0.0377,201
0.78,0.1,0.9,2,5,-6.206,0.1592,0.1196,-13.9403,0.0189,201
0.78,0.1,0.9,2,10,-6.206,0.1592,0.1196,-27.8806,0.0378,201
0.78,0.15,0.9,2,5,-6.206,0.1592,0.1196,-13.9403,0.0189,201
0.78,0.15,0.9,2,10,-6.206,0.1592,0.1196,-27.8806,0.0378,201
0.78,0.2,0.9,2,5,-6.206,0.1592,0.1196,-13.9403,0.0189,201
0.78,0.2,0.9,2,10,-6.206,0.1592,0.1196,-27.8806,0.0378,201
0.8,0.1,0.9,2,5,-6.3607,0.1592,0.1104,-14.14,0.0191,201
0.8,0.1,0.9,2,10,-6.3607,0.1592,0.1104,-28.2801,0.0382,201
0.8,0.15,0.9,2,5,-6.3607,0.1592,0.1104,-14.14,0.0191,201
0.8,0.15,0.9,2,10,-6.3607,0.1592,0.1104,-28.2801,0.0382,201
0.8,0.2,0.9,2,5,-6.3607,0.1592,0.1104,-14.14,0.0191,201
0.8,0.2,0.9,2,10,-6.3607,0.1592,0.1104,-28.2801,0.0382,201
0.65,0.1,0.85,2,5,-6.5312,0.1628,0.1561,-16.9437,0.0222,215
0.65,0.1,0.85,2,10,-6.5312,0.1628,0.1561,-33.8874,0.0445,215
0.7,0.1,0.85,2,5,-6.5681,0.1643,0.154,-15.8845,0.0211,213
0.7,0.1,0.85,2,10,-6.5681,0.1643,0.154,-31.7691,0.0423,213
0.7,0.15,0.85,2,5,-6.5681,0.1643,0.154,-15.8845,0.0211,213
0.7,0.15,0.85,2,10,-6.5681,0.1643,0.154,-31.7691,0.0423,213
0.7,0.2,0.85,2,5,-6.5681,0.1643,0.154,-15.8845,0.0211,213
0.7,0.2,0.85,2,10,-6.5681,0.1643,0.154,-31.7691,0.0423,213
0.7,0.1,0.95,2,5,-6.7798,0.1412,0.2005,-8.7435,0.0131,177
0.7,0.1,0.95,2,10,-6.7798,0.1412,0.2005,-17.487,0.0263,177
0.7,0.15,0.95,2,5,-6.7798,0.1412,0.2005,-8.7435,0.0131,177
0.7,0.15,0.95,2,10,-6.7798,0.1412,0.2005,-17.487,0.0263,177
0.7,0.2,0.95,2,5,-6.7798,0.1412,0.2005,-8.7435,0.0131,177
0.7,0.2,0.95,2,10,-6.7798,0.1412,0.2005,-17.487,0.0263,177
0.65,0.1,0.9,3,5,-6.8285,0.1623,0.1796,-10.1254,0.014,154
0.65,0.1,0.9,3,10,-6.8285,0.1623,0.1796,-20.2508,0.0279,154
0.75,0.1,0.85,2,5,-6.9091,0.1643,0.1362,-16.3303,0.0216,213
0.75,0.1,0.85,2,10,-6.9091,0.1643,0.1362,-32.6606,0.0432,213
