ma_window,entry_zscore,exit_zscore,stop_loss_pct,timeout_minutes,position_size_usdc,total_trades,winners,losers,total_pnl,win_rate,profit_factor,sharpe_ratio,max_drawdown,avg_trade_pnl,best_trade,worst_trade
30,-2.5,0.5,0.15,60,5,15,5,10,-1.2518028815468285,0.3333333333333333,0.6427952643114224,-0.1696349035445927,0.007749258070509313,-0.08345352543645523,0.8486275783660887,-0.9044972208185958
30,-2.5,0.5,0.15,60,10,15,5,10,-2.503605763093657,0.3333333333333333,0.6427952643114224,-0.1696349035445927,0.015498516141018626,-0.16690705087291047,1.6972551567321774,-1.8089944416371917
30,-2.5,0.5,0.15,45,5,15,4,11,-1.9526260436246035,0.26666666666666666,0.4908572572395159,-0.27181505130084493,0.007749258070509313,-0.13017506957497357,0.8486275783660887,-0.9044972208185958
30,-2.5,0.5,0.15,45,10,15,4,11,-3.905252087249207,0.26666666666666666,0.4908572572395159,-0.27181505130084493,0.015498516141018626,-0.26035013914994715,1.6972551567321774,-1.8089944416371917
30,-2.5,0.0,0.15,60,5,16,5,11,-1.962298777957587,0.3125,0.4979971298580847,-0.281563226599673,0.008285239375593506,-0.12264367362234918,0.6358616209192802,-0.9044972208185958
30,-2.5,0.0,0.15,60,10,16,5,11,-3.924597555915174,0.3125,0.4979971298580847,-0.281563226599673,0.016570478751186897,-0.24528734724469836,1.2717232418385604,-1.8089944416371917
30,-2.5,0.5,0.08,60,5,17,5,12,-2.3084403393125923,0.29411764705882354,0.49388276987807384,-0.2935712334824982,0.008893485585223609,-0.13579060819485836,0.8486275783660887,-0.9150657229524775
30,-2.5,0.5,0.08,60,10,17,5,12,-4.616880678625185,0.29411764705882354,0.49388276987807384,-0.2935712334824982,0.01778539950638226,-0.2715812163897167,1.6972551567321774,-1.830131445904955
30,-2.5,0.5,0.1,60,5,17,5,12,-2.6007397988899026,0.29411764705882354,0.4641381935261926,-0.3187191601206085,0.009098194987852366,-0.15298469405234721,0.8486275783660887,-0.9150657229524775
30,-2.5,0.5,0.1,60,10,17,5,12,-5.201479597779805,0.29411764705882354,0.4641381935261926,-0.3187191601206085,0.018196389975704847,-0.30596938810469443,1.6972551567321774,-1.830131445904955
30,-2.5,0.0,0.08,60,5,18,5,13,-2.1299570226478846,0.2777777777777778,0.4775160000660117,-0.32057475953433073,0.008452897620283806,-0.11833094570266026,0.6358616209192802,-0.5912076806467921
30,-2.5,0.0,0.08,60,10,18,5,13,-4.259914045295769,0.2777777777777778,0.4775160000660117,-0.32057475953433073,0.0169057952405675,-0.2366618914053205,1.2717232418385604,-1.1824153612935842
30,-2.5,0.0,0.1,60,5,18,5,13,-2.422256482225195,0.2777777777777778,0.44556796679723026,-0.3447696540194059,0.0087451970798611,-0.1345698045680664,0.6358616209192802,-0.7335490830636463
30,-2.5,0.0,0.1,60,10,18,5,13,-4.84451296445039,0.2777777777777778,0.44556796679723026,-0.3447696540194059,0.0174903941597222,-0.2691396091361328,1.2717232418385604,-1.4670981661272926
30,-2.5,0.5,0.08,45,5,17,4,13,-3.0092635013903672,0.23529411764705882,0.3848304064714481,-0.39729085642098577,0.008893485585223609,-0.17701550008178632,0.8486275783660887,-0.9150657229524775
30,-2.5,0.5,0.08,45,10,17,4,13,-6.0185270027807345,0.23529411764705882,0.3848304064714481,-0.39729085642098577,0.01778539950638226,-0.35403100016357264,1.6972551567321774,-1.830131445904955
30,-2.5,0.0,0.15,45,5,16,4,12,-2.663121940035362,0.25,0.37184941536473076,-0.39858550804187126,0.008285239375593506,-0.16644512125221012,0.6358616209192802,-0.9044972208185958
30,-2.5,0.0,0.15,45,10,16,4,12,-5.326243880070724,0.25,0.37184941536473076,-0.39858550804187126,0.016570478751186897,-0.33289024250442023,1.2717232418385604,-1.8089944416371917
20,-2.5,0.5,0.15,45,5,19,4,15,-3.322992528932169,0.21052631578947367,0.27418768411354466,-0.41586074456456235,0.009089743421558638,-0.1748943436280089,0.4880623680363827,-1.0904007455731595
