threshold,stop_loss_pct,target_price,required_ticks,position_size_usdc,sharpe_ratio,win_rate,profit_factor,total_pnl,max_drawdown,total_trades
0.65,0.2,0.95,3,5,-1.9465,0.0132,0.2629,-3.3639,0.0071,76
0.65,0.2,0.95,3,10,-1.9465,0.0132,0.2629,-6.7277,0.0142,76
0.65,0.1,0.95,3,5,-2.1054,0.0253,0.309,-3.5735,0.0074,79
0.65,0.1,0.95,3,10,-2.1054,0.0253,0.309,-7.147,0.0148,79
0.65,0.15,0.95,3,5,-2.1505,0.013,0.2562,-3.5246,0.0073,77
0.65,0.15,0.95,3,10,-2.1505,0.013,0.2562,-7.0492,0.0146,77
0.65,0.2,0.95,2,5,-2.2198,0.0112,0.2367,-3.8007,0.0079,89
0.65,0.2,0.95,2,10,-2.2198,0.0112,0.2367,-7.6014,0.0157,89
0.65,0.1,0.95,2,5,-2.4175,0.0217,0.2777,-4.0146,0.0082,92
0.65,0.1,0.95,2,10,-2.4175,0.0217,0.2777,-8.0293,0.0163,92
0.65,0.15,0.95,2,5,-2.4491,0.0111,0.2313,-3.9578,0.0081,90
0.65,0.15,0.95,2,10,-2.4491,0.0111,0.2313,-7.9156,0.0161,90
0.7,0.2,0.95,3,5,-2.5041,0.0132,0.1834,-3.9321,0.0071,76
0.7,0.2,0.95,3,10,-2.5041,0.0132,0.1834,-7.8642,0.0142,76
0.7,0.1,0.95,3,5,-2.6453,0.0253,0.2702,-3.4742,0.0068,79
0.7,0.1,0.95,3,10,-2.6453,0.0253,0.2702,-6.9484,0.0137,79
0.7,0.2,0.95,2,5,-2.6943,0.0112,0.1783,-4.262,0.0079,89
0.7,0.2,0.95,2,10,-2.6943,0.0112,0.1783,-8.5241,0.0157,89
0.7,0.15,0.95,3,5,-2.7628,0.013,0.2062,-3.5187,0.0068,77
0.7,0.15,0.95,3,10,-2.7628,0.013,0.2062,-7.0374,0.0137,77
0.7,0.1,0.95,2,5,-3.0365,0.0217,0.2439,-3.8353,0.0075,92
0.7,0.1,0.95,2,10,-3.0365,0.0217,0.2439,-7.6706,0.0151,92
0.7,0.15,0.95,2,5,-3.1226,0.0111,0.1878,-3.8863,0.0075,90
0.7,0.15,0.95,2,10,-3.1226,0.0111,0.1878,-7.7727,0.0151,90
0.75,0.2,0.95,3,5,-3.1558,0.0132,0.1469,-3.7308,0.0066,76
0.75,0.2,0.95,3,10,-3.1558,0.0132,0.1469,-7.4617,0.0132,76
0.78,0.1,0.95,3,5,-3.2365,0.0256,0.1933,-3.9533,0.0067,78
0.78,0.1,0.95,3,10,-3.2365,0.0256,0.1933,-7.9067,0.0134,78
0.75,0.1,0.95,3,5,-3.277,0.0253,0.2045,-4.1451,0.0071,79
0.75,0.1,0.95,3,10,-3.277,0.0253,0.2045,-8.2903,0.0141,79
0.75,0.2,0.95,2,5,-3.3518,0.0111,0.1081,-5.7771,0.009,90
0.75,0.2,0.95,2,10,-3.3518,0.0111,0.1081,-11.5541,0.0179,90
0.78,0.2,0.95,3,5,-3.3604,0.0132,0.1214,-3.9709,0.0067,76
0.78,0.2,0.95,3,10,-3.3604,0.0132,0.1214,-7.9419,0.0133,76
0.8,0.1,0.95,3,5,-3.4068,0.0256,0.1715,-4.1624,0.0068,78
0.8,0.1,0.95,3,10,-3.4068,0.0256,0.1715,-8.3248,0.0135,78
0.75,0.15,0.95,3,5,-3.4775,0.013,0.1382,-4.1194,0.007,77
0.75,0.15,0.95,3,10,-3.4775,0.013,0.1382,-8.2387,0.014,77
0.8,0.2,0.95,3,5,-3.5437,0.0132,0.0981,-4.18,0.0067,76
0.8,0.2,0.95,3,10,-3.5437,0.0132,0.0981,-8.3601,0.0134,76
0.65,0.2,0.9,3,5,-3.6042,0.0117,0.2221,-8.6597,0.0147,171
0.65,0.2,0.9,3,10,-3.6042,0.0117,0.2221,-17.3194,0.0294,171
0.78,0.15,0.95,3,5,-3.6332,0.013,0.1126,-4.4657,0.0072,77
0.78,0.15,0.95,3,10,-3.6332,0.013,0.1126,-8.9314,0.0144,77
0.8,0.15,0.95,3,5,-3.6941,0.0132,0.1024,-3.897,0.0064,76
0.8,0.15,0.95,3,10,-3.6941,0.0132,0.1024,-7.794,0.0129,76
0.75,0.1,0.95,2,5,-3.7259,0.0217,0.1824,-4.5685,0.0078,92
0.75,0.1,0.95,2,10,-3.7259,0.0217,0.1824,-9.1369,0.0156,92
0.78,0.1,0.95,2,5,-3.7517,0.022,0.1702,-4.3563,0.0074,91
0.78,0.1,0.95,2,10,-3.7517,0.022,0.1702,-8.7126,0.0148,91
0.78,0.2,0.95,2,5,-3.828,0.0112,0.1088,-4.3336,0.0073,89
0.78,0.2,0.95,2,10,-3.828,0.0112,0.1088,-8.6672,0.0147,89
0.75,0.15,0.95,2,5,-3.8776,0.0111,0.1253,-4.5372,0.0077,90
0.75,0.15,0.95,2,10,-3.8776,0.0111,0.1253,-9.0744,0.0155,90
0.8,0.1,0.95,2,5,-3.8954,0.022,0.1491,-4.6209,0.0075,91
0.8,0.1,0.95,2,10,-3.8954,0.022,0.1491,-9.2418,0.015,91
0.65,0.1,0.9,3,5,-3.9704,0.0171,0.2303,-9.0855,0.0152,175
0.65,0.1,0.9,3,10,-3.9704,0.0171,0.2303,-18.1709,0.0304,175
0.8,0.2,0.95,2,5,-3.9762,0.0112,0.0868,-4.5982,0.0074,89
0.8,0.2,0.95,2,10,-3.9762,0.0112,0.0868,-9.1964,0.0149,89
0.65,0.15,0.9,3,5,-3.9951,0.0116,0.2161,-9.0722,0.0151,173
0.65,0.15,0.9,3,10,-3.9951,0.0116,0.2161,-18.1444,0.0303,173
0.78,0.15,0.95,2,5,-4.0892,0.0111,0.1013,-4.8536,0.0079,90
0.78,0.15,0.95,2,10,-4.0892,0.0111,0.1013,-9.7072,0.0158,90
0.8,0.15,0.95,2,5,-4.237,0.0111,0.0809,-5.1182,0.008,90
0.8,0.15,0.95,2,10,-4.237,0.0111,0.0809,-10.2365,0.016,90
0.65,0.2,0.9,2,5,-4.5712,0.0132,0.194,-10.7874,0.0182,227
0.65,0.2,0.9,2,10,-4.5712,0.0132,0.194,-21.5748,0.0363,227
0.7,0.2,0.9,3,5,-4.5827,0.0117,0.1579,-9.7282,0.0152,171
0.7,0.2,0.9,3,10,-4.5827,0.0117,0.1579,-19.4565,0.0305,171
0.65,0.15,0.9,2,5,-5.0409,0.0131,0.1901,-11.1587,0.0186,229
0.65,0.15,0.9,2,10,-5.0409,0.0131,0.1901,-22.3174,0.0372,229
0.65,0.1,0.9,2,5,-5.0931,0.013,0.19,-11.1397,0.0186,230
0.65,0.1,0.9,2,10,-5.0931,0.013,0.19,-22.2793,0.0372,230
0.7,0.1,0.9,3,5,-5.141,0.0172,0.1815,-9.0006,0.0146,174
0.7,0.1,0.9,3,10,-5.141,0.0172,0.1815,-18.0012,0.0292,174
0.7,0.15,0.9,3,5,-5.2137,0.0116,0.165,-8.9874,0.0145,172
0.7,0.15,0.9,3,10,-5.2137,0.0116,0.165,-17.9747,0.0291,172
0.7,0.2,0.9,2,5,-5.543,0.0132,0.1483,-11.7222,0.0186,227
0.7,0.2,0.9,2,10,-5.543,0.0132,0.1483,-23.4443,0.0373,227
0.75,0.2,0.9,3,5,-5.675,0.0118,0.1225,-9.0261,0.0141,170
0.75,0.2,0.9,3,10,-5.675,0.0118,0.1225,-18.0522,0.0282,170
0.75,0.1,0.9,3,5,-6.2814,0.0173,0.139,-9.2251,0.0144,173
0.75,0.1,0.9,3,10,-6.2814,0.0173,0.139,-18.4502,0.0287,173
0.7,0.15,0.9,2,5,-6.3206,0.0132,0.1537,-10.9765,0.0179,228
0.7,0.15,0.9,2,10,-6.3206,0.0132,0.1537,-21.9531,0.0358,228
0.78,0.2,0.9,3,5,-6.3376,0.0118,0.0937,-9.4628,0.0144,170
0.78,0.2,0.9,3,10,-6.3376,0.0118,0.0937,-18.9256,0.0287,170
0.7,0.1,0.9,2,5,-6.4588,0.0131,0.154,-10.9076,0.0179,229
0.7,0.1,0.9,2,10,-6.4588,0.0131,0.154,-21.8153,0.0357,229
0.75,0.15,0.9,3,5,-6.5217,0.0116,0.1164,-9.7622,0.0149,172
0.75,0.15,0.9,3,10,-6.5217,0.0116,0.1164,-19.5244,0.0297,172
0.8,0.2,0.9,3,5,-6.6953,0.0118,0.0781,-9.6985,0.0145,170
0.8,0.2,0.9,3,10,-6.6953,0.0118,0.0781,-19.3971,0.0289,170
0.75,0.2,0.9,2,5,-7.0228,0.0133,0.1143,-11.1084,0.0176,226
0.75,0.2,0.9,2,10,-7.0228,0.0133,0.1143,-22.2167,0.0351,226
0.65,0.15,0.85,3,5,-7.0346,0.0111,0.1267,-14.534,0.0222,271
0.65,0.15,0.85,3,10,-7.0346,0.0111,0.1267,-29.0679,0.0443,271
0.65,0.2,0.85,3,5,-7.0971,0.0111,0.1264,-14.5855,0.0222,271
0.65,0.2,0.85,3,10,-7.0971,0.0111,0.1264,-29.1711,0.0444,271
0.78,0.1,0.9,3,5,-7.1172,0.0173,0.1113,-9.6618,0.0146,173
0.78,0.1,0.9,3,10,-7.1172,0.0173,0.1113,-19.3235,0.0293,173
0.8,0.1,0.9,3,5,-7.5595,0.0174,0.1002,-9.3156,0.0141,172
0.8,0.1,0.9,3,10,-7.5595,0.0174,0.1002,-18.6311,0.0282,172
0.65,0.1,0.85,3,5,-7.6283,0.0146,0.1259,-14.8266,0.0225,274
0.65,0.1,0.85,3,10,-7.6283,0.0146,0.1259,-29.6533,0.0451,274
0.78,0.2,0.9,2,5,-7.6752,0.0133,0.094,-11.4932,0.0178,226
0.78,0.2,0.9,2,10,-7.6752,0.0133,0.094,-22.9865,0.0355,226
0.75,0.15,0.9,2,5,-7.9692,0.0132,0.1098,-11.8434,0.0183,228
0.75,0.15,0.9,2,10,-7.9692,0.0132,0.1098,-23.6867,0.0367,228
0.78,0.15,0.9,3,5,-8.1169,0.0118,0.1006,-8.4149,0.0133,170
0.78,0.15,0.9,3,10,-8.1169,0.0118,0.1006,-16.8298,0.0266,170
0.75,0.1,0.9,2,5,-8.1925,0.0132,0.1133,-11.2238,0.0177,228
0.75,0.1,0.9,2,10,-8.1925,0.0132,0.1133,-22.4476,0.0354,228
0.8,0.2,0.9,2,5,-8.2133,0.0133,0.0773,-11.8109,0.0179,226
0.8,0.2,0.9,2,10,-8.2133,0.0133,0.0773,-23.6219,0.0359,226
0.7,0.15,0.85,3,5,-8.558,0.0111,0.086,-15.5279,0.0227,271
0.7,0.15,0.85,3,10,-8.558,0.0111,0.086,-31.0557,0.0454,271
0.78,0.15,0.9,2,5,-8.8625,0.0132,0.0938,-11.5154,0.0178,227
0.78,0.15,0.9,2,10,-8.8625,0.0132,0.0938,-23.0308,0.0356,227
0.8,0.15,0.9,3,5,-8.9107,0.0118,0.0839,-8.6507,0.0134,170
0.8,0.15,0.9,3,10,-8.9107,0.0118,0.0839,-17.3013,0.0268,170
0.78,0.1,0.9,2,5,-9.1714,0.0132,0.0932,-11.6087,0.0179,228
0.78,0.1,0.9,2,10,-9.1714,0.0132,0.0932,-23.2173,0.0359,228
0.65,0.15,0.85,2,5,-9.2043,0.0083,0.1005,-18.5303,0.0283,361
0.65,0.15,0.85,2,10,-9.2043,0.0083,0.1005,-37.0606,0.0565,361
0.7,0.2,0.85,3,5,-9.2738,0.0111,0.0907,-14.2864,0.0214,270
0.7,0.2,0.85,3,10,-9.2738,0.0111,0.0907,-28.5728,0.0429,270
0.65,0.2,0.85,2,5,-9.2949,0.0083,0.1004,-18.5602,0.0283,361
0.65,0.2,0.85,2,10,-9.2949,0.0083,0.1004,-37.1204,0.0566,361
0.65,0.1,0.85,2,5,-9.9815,0.0083,0.0994,-18.8256,0.0286,363
0.65,0.1,0.85,2,10,-9.9815,0.0083,0.0994,-37.6511,0.0572,363
0.8,0.1,0.9,2,5,-10.0235,0.0132,0.0766,-11.9264,0.0181,228
0.8,0.1,0.9,2,10,-10.0235,0.0132,0.0766,-23.8528,0.0362,228
0.7,0.1,0.85,3,5,-10.5285,0.0147,0.0908,-14.5044,0.0217,273
0.7,0.1,0.85,3,10,-10.5285,0.0147,0.0908,-29.0088,0.0434,273
0.75,0.2,0.85,3,5,-10.8466,0.0111,0.0595,-15.0088,0.0217,270
0.75,0.2,0.85,3,10,-10.8466,0.0111,0.0595,-30.0175,0.0435,270
0.7,0.15,0.85,2,5,-10.8632,0.0083,0.0722,-19.4005,0.0287,361
0.7,0.15,0.85,2,10,-10.8632,0.0083,0.0722,-38.801,0.0574,361
0.8,0.15,0.9,2,5,-11.055,0.0133,0.0819,-10.7347,0.0169,226
0.8,0.15,0.9,2,10,-11.055,0.0133,0.0819,-21.4694,0.0337,226
0.75,0.15,0.85,3,5,-11.3664,0.0111,0.0602,-14.7463,0.0215,270
0.75,0.15,0.85,3,10,-11.3664,0.0111,0.0602,-29.4926,0.043,270
0.78,0.2,0.85,3,5,-11.6327,0.0111,0.0421,-15.4139,0.0221,270
0.78,0.2,0.85,3,10,-11.6327,0.0111,0.0421,-30.8278,0.0442,270
0.7,0.2,0.85,2,5,-11.9982,0.0083,0.0754,-18.1183,0.0274,360
0.7,0.2,0.85,2,10,-11.9982,0.0083,0.0754,-36.2365,0.0548,360
0.8,0.2,0.85,3,5,-12.0057,0.0111,0.0326,-15.634,0.0223,270
0.8,0.2,0.85,3,10,-12.0057,0.0111,0.0326,-31.2679,0.0446,270
0.78,0.15,0.85,3,5,-12.2751,0.0111,0.0425,-15.1514,0.0218,270
0.78,0.15,0.85,3,10,-12.2751,0.0111,0.0425,-30.3029,0.0437,270
0.8,0.15,0.85,3,5,-12.7089,0.0111,0.0329,-15.3715,0.022,270
0.8,0.15,0.85,3,10,-12.7089,0.0111,0.0329,-30.743,0.0441,270
0.75,0.1,0.85,3,5,-12.7691,0.0147,0.06,-15.2267,0.022,273
0.75,0.1,0.85,3,10,-12.7691,0.0147,0.06,-30.4534,0.0441,273
0.7,0.1,0.85,2,5,-13.6727,0.0083,0.0747,-18.3444,0.0277,362
0.7,0.1,0.85,2,10,-13.6727,0.0083,0.0747,-36.6888,0.0553,362
0.75,0.2,0.85,2,5,-14.2824,0.0083,0.0479,-18.9253,0.0278,360
0.75,0.2,0.85,2,10,-14.2824,0.0083,0.0479,-37.8506,0.0557,360
0.75,0.15,0.85,2,5,-14.9567,0.0083,0.0483,-18.6928,0.0276,360
0.75,0.15,0.85,2,10,-14.9567,0.0083,0.0483,-37.3856,0.0552,360
0.78,0.2,0.85,2,5,-15.205,0.0083,0.0357,-19.283,0.0282,360
0.78,0.2,0.85,2,10,-15.205,0.0083,0.0357,-38.5661,0.0564,360
0.8,0.2,0.85,2,5,-15.8378,0.0083,0.0257,-19.5786,0.0285,360
0.8,0.2,0.85,2,10,-15.8378,0.0083,0.0257,-39.1572,0.057,360
0.78,0.15,0.85,2,5,-16.0204,0.0083,0.036,-19.0505,0.028,360
0.78,0.15,0.85,2,10,-16.0204,0.0083,0.036,-38.1011,0.0559,360
0.8,0.15,0.85,2,5,-16.7551,0.0083,0.0259,-19.3461,0.0282,360
0.8,0.15,0.85,2,10,-16.7551,0.0083,0.0259,-38.6922,0.0565,360
0.75,0.1,0.85,2,5,-17.0743,0.0083,0.0475,-19.1514,0.0281,362
0.75,0.1,0.85,2,10,-17.0743,0.0083,0.0475,-38.3029,0.0562,362
0.78,0.1,0.85,3,5,-17.8359,0.0148,0.046,-14.0419,0.0207,271
0.78,0.1,0.85,3,10,-17.8359,0.0148,0.046,-28.0837,0.0415,271
0.78,0.1,0.85,2,5,-18.773,0.0083,0.036,-19.0072,0.0279,361
0.78,0.1,0.85,2,10,-18.773,0.0083,0.036,-38.0143,0.0559,361
0.8,0.1,0.85,3,5,-19.1209,0.0148,0.0359,-14.2619,0.021,271
0.8,0.1,0.85,3,10,-19.1209,0.0148,0.0359,-28.5239,0.0419,271
0.8,0.1,0.85,2,5,-28.1391,0.0083,0.0269,-18.2043,0.0271,360
0.8,0.1,0.85,2,10,-28.1391,0.0083,0.0269,-36.4086,0.0542,360
