threshold,stop_loss_pct,target_price,sharpe_ratio,win_rate,profit_factor,total_pnl,max_drawdown,total_trades
0.75,0.15,0.85,-0.9774,0.4,0.4494,-1.877,0.0026,15
0.65,0.2,0.85,-0.9822,0.2941,0.405,-1.6681,0.0022,17
0.65,0.2,0.85,-0.9822,0.2941,0.405,-3.3362,0.0045,17
0.75,0.15,0.9,-1.0104,0.25,0.3778,-1.5075,0.0017,4
0.75,0.15,0.9,-1.0104,0.25,0.3778,-3.015,0.0034,4
0.8,0.2,0.9,-1.0919,0.5,0.1286,-0.9781,0.0012,2
0.8,0.2,0.9,-1.0919,0.5,0.1286,-1.9562,0.0023,2
0.78,0.2,0.9,-1.1152,0.3333,0.2849,-1.5654,0.0016,3
0.78,0.2,0.9,-1.1152,0.3333,0.2849,-3.1307,0.0033,3
0.78,0.1,0.9,-1.2224,0.25,0.3124,-1.3383,0.0014,4
0.78,0.1,0.9,-1.2224,0.25,0.3124,-2.6765,0.0029,4
0.7,0.15,0.85,-1.2412,0.2941,0.3473,-1.4317,0.0018,17
0.7,0.15,0.85,-1.2412,0.2941,0.3473,-2.8634,0.0037,17
0.78,0.15,0.9,-1.2541,0.25,0.3054,-1.8003,0.0019,4
0.78,0.15,0.9,-1.2541,0.25,0.3054,-3.6005,0.0038,4
0.7,0.2,0.85,-1.3581,0.2941,0.2808,-2.1051,0.0025,17
0.7,0.2,0.85,-1.3581,0.2941,0.2808,-4.2103,0.005,17
0.78,0.15,0.85,-1.3647,0.4,0.2904,-1.3923,0.0018,15
0.78,0.15,0.85,-1.3647,0.4,0.2904,-2.7847,0.0035,15
0.78,0.2,0.85,-1.4188,0.4,0.2356,-1.9728,0.0023,15
0.78,0.2,0.85,-1.4188,0.4,0.2356,-3.9456,0.0047,15
0.7,0.1,0.85,-1.4865,0.3158,0.3696,-1.9043,0.0024,19
0.7,0.1,0.85,-1.4865,0.3158,0.3696,-3.8086,0.0047,19
0.78,0.1,0.85,-1.5243,0.4375,0.3184,-1.5071,0.0019,16
0.78,0.1,0.85,-1.5243,0.4375,0.3184,-3.0142,0.0038,16
0.8,0.1,0.85,-1.6129,0.3077,0.2372,-0.8326,0.0014,13
0.8,0.1,0.85,-1.6129,0.3077,0.2372,-1.6651,0.0028,13
0.8,0.15,0.85,-1.6421,0.25,0.2598,-0.3615,0.0008,12
0.8,0.15,0.85,-1.6421,0.25,0.2598,-0.7229,0.0015,12
0.8,0.2,0.85,-1.6421,0.25,0.2598,-0.3615,0.0008,12
0.8,0.2,0.85,-1.6421,0.25,0.2598,-0.7229,0.0015,12
0.75,0.1,0.85,-1.6654,0.3333,0.3053,-1.7016,0.0021,18
0.75,0.1,0.85,-1.6654,0.3333,0.3053,-3.4033,0.0043,18
0.8,0.1,0.85,-1.6693,0.4375,0.2586,-0.8549,0.0013,16
0.8,0.1,0.85,-1.6693,0.4375,0.2586,-1.7097,0.0026,16
0.75,0.2,0.85,-1.7808,0.2941,0.1564,-2.5728,0.003,17
0.75,0.2,0.85,-1.7808,0.2941,0.1564,-5.1456,0.006,17
0.75,0.15,0.85,-1.8328,0.2941,0.1984,-1.8213,0.0022,17
0.75,0.15,0.85,-1.8328,0.2941,0.1984,-3.6426,0.0045,17
0.78,0.2,0.85,-1.9139,0.2941,0.1245,-2.5868,0.003,17
0.78,0.2,0.85,-1.9139,0.2941,0.1245,-5.1735,0.006,17
0.78,0.15,0.85,-2.0002,0.2941,0.1467,-2.0661,0.0025,17
0.78,0.15,0.85,-2.0002,0.2941,0.1467,-4.1322,0.005,17
0.78,0.1,0.85,-2.1602,0.3333,0.1824,-2.1837,0.0026,18
0.78,0.1,0.85,-2.1602,0.3333,0.1824,-4.3673,0.0052,18
0.8,0.15,0.85,-2.2153,0.4,0.2509,-0.4306,0.0009,15
0.8,0.15,0.85,-2.2153,0.4,0.2509,-0.8611,0.0017,15
0.8,0.2,0.85,-2.2153,0.4,0.2509,-0.4306,0.0009,15
0.8,0.2,0.85,-2.2153,0.4,0.2509,-0.8611,0.0017,15
0.75,0.1,0.95,-14.9229,0.0,0.0,-1.3146,0.0014,2
0.75,0.1,0.95,-14.9229,0.0,0.0,-2.6292,0.0027,2
0.65,0.2,0.95,-15.1678,0.0,0.0,-2.0516,0.0021,2
0.65,0.2,0.95,-15.1678,0.0,0.0,-4.1031,0.0042,2
0.78,0.2,0.95,-16.5959,0.0,0.0,-2.2894,0.0023,2
0.78,0.2,0.95,-16.5959,0.0,0.0,-4.5788,0.0047,2
0.78,0.15,0.95,-20.8302,0.0,0.0,-1.7687,0.0018,2
0.78,0.15,0.95,-20.8302,0.0,0.0,-3.5374,0.0036,2
0.8,0.15,0.95,-22.5373,0.0,0.0,-1.7581,0.0018,2
0.8,0.15,0.95,-22.5373,0.0,0.0,-3.5162,0.0036,2
0.7,0.1,0.95,-23.7879,0.0,0.0,-1.8097,0.0019,3
0.7,0.1,0.95,-23.7879,0.0,0.0,-3.6193,0.0038,3
0.65,0.1,0.95,-29.2052,0.0,0.0,-1.406,0.0014,2
0.65,0.1,0.95,-29.2052,0.0,0.0,-2.812,0.0029,2
0.7,0.1,0.95,-31.0242,0.0,0.0,-1.8564,0.0019,3
0.7,0.1,0.95,-31.0242,0.0,0.0,-3.7128,0.0038,3
0.78,0.1,0.95,-31.1288,0.0,0.0,-1.3327,0.0014,2
0.78,0.1,0.95,-31.1288,0.0,0.0,-2.6654,0.0028,2
0.65,0.15,0.95,-38.4259,0.0,0.0,-1.8128,0.0019,2
0.65,0.15,0.95,-38.4259,0.0,0.0,-3.6256,0.0037,2
0.75,0.1,0.95,-38.701,0.0,0.0,-1.2278,0.0013,2
0.75,0.1,0.95,-38.701,0.0,0.0,-2.4556,0.0025,2
0.65,0.1,0.95,-43.9222,0.0,0.0,-2.1257,0.0022,3
0.65,0.1,0.95,-43.9222,0.0,0.0,-4.2514,0.0044,3
0.78,0.15,0.95,-44.4731,0.0,0.0,-1.8022,0.0018,2
0.78,0.15,0.95,-44.4731,0.0,0.0,-3.6045,0.0037,2
0.65,0.15,0.95,-64.1336,0.0,0.0,-1.7055,0.0017,2
0.65,0.15,0.95,-64.1336,0.0,0.0,-3.411,0.0035,2
0.8,0.1,0.95,-66.502,0.0,0.0,-1.1215,0.0012,2
0.8,0.1,0.95,-66.502,0.0,0.0,-2.243,0.0023,2
0.78,0.1,0.95,-84.8007,0.0,0.0,-1.4535,0.0015,2
0.78,0.1,0.95,-84.8007,0.0,0.0,-2.9069,0.003,2
0.75,0.15,0.95,-93.8441,0.0,0.0,-1.6844,0.0017,2
0.75,0.15,0.95,-93.8441,0.0,0.0,-3.3689,0.0035,2
0.7,0.15,0.95,-114.0844,0.0,0.0,-1.7223,0.0018,2
0.7,0.15,0.95,-114.0844,0.0,0.0,-3.4445,0.0035,2
0.8,0.1,0.95,-149.6892,0.0,0.0,-1.3255,0.0014,2
0.8,0.1,0.95,-149.6892,0.0,0.0,-2.651,0.0027,2
0.7,0.15,0.95,-164.4628,0.0,0.0,-1.7289,0.0018,2
