ma_window,entry_zscore,exit_zscore,stop_loss_pct,timeout_minutes,position_size_pusd,total_trades,winners,losers,total_pnl,win_rate,profit_factor,sharpe_ratio,max_drawdown,avg_trade_pnl,best_trade,worst_trade
30,-2.5,0.5,0.08,45,5,62,0,62,-34.69887482100348,0.0,0.0,-3.2139715925896297,0.03937723739410342,-0.5596592713065077,-0.1000000000000001,-0.9259259259259258
30,-2.5,0.5,0.08,45,10,62,0,62,-69.39774964200696,0.0,0.0,-3.2139715925896297,0.0787544747882057,-1.1193185426130154,-0.2000000000000002,-1.8518518518518516
30,-2.5,0.5,0.08,60,5,62,0,62,-34.69887482100348,0.0,0.0,-3.2139715925896297,0.03937723739410342,-0.5596592713065077,-0.1000000000000001,-0.9259259259259258
30,-2.5,0.5,0.08,60,10,62,0,62,-69.39774964200696,0.0,0.0,-3.2139715925896297,0.0787544747882057,-1.1193185426130154,-0.2000000000000002,-1.8518518518518516
30,-2.5,-0.5,0.08,45,5,72,0,72,-40.55632035570859,0.0,0.0,-3.241360583056272,0.0452346829288083,-0.5632822271626193,-0.13333333333333347,-0.9259259259259258
30,-2.5,-0.5,0.08,45,10,72,0,72,-81.11264071141719,0.0,0.0,-3.241360583056272,0.09046936585761592,-1.1265644543252387,-0.26666666666666694,-1.8518518518518516
30,-2.5,-0.5,0.08,60,5,72,0,72,-40.55632035570859,0.0,0.0,-3.241360583056272,0.0452346829288083,-0.5632822271626193,-0.13333333333333347,-0.9259259259259258
30,-2.5,-0.5,0.08,60,10,72,0,72,-81.11264071141719,0.0,0.0,-3.241360583056272,0.09046936585761592,-1.1265644543252387,-0.26666666666666694,-1.8518518518518516
30,-2.0,0.5,0.08,45,5,91,0,91,-53.65145771413753,0.0,0.0,-3.2448951974470885,0.05832982028723768,-0.5895764583971157,-0.1000000000000001,-1.1842105263157898
30,-2.0,0.5,0.08,45,10,91,0,91,-107.30291542827506,0.0,0.0,-3.2448951974470885,0.11665964057447377,-1.1791529167942314,-0.2000000000000002,-2.3684210526315796
30,-2.0,0.5,0.08,60,5,91,0,91,-53.65145771413753,0.0,0.0,-3.2448951974470885,0.05832982028723768,-0.5895764583971157,-0.1000000000000001,-1.1842105263157898
30,-2.0,0.5,0.08,60,10,91,0,91,-107.30291542827506,0.0,0.0,-3.2448951974470885,0.11665964057447377,-1.1791529167942314,-0.2000000000000002,-2.3684210526315796
30,-2.0,0.5,0.1,45,5,81,0,81,-45.658585884150284,0.0,0.0,-3.2801807894845636,0.050336948457250175,-0.5636862454833368,-0.1000000000000001,-1.1842105263157898
30,-2.0,0.5,0.1,45,10,81,0,81,-91.31717176830057,0.0,0.0,-3.2801807894845636,0.10067389691449921,-1.1273724909666736,-0.2000000000000002,-2.3684210526315796
30,-2.0,0.5,0.1,60,5,81,0,81,-45.658585884150284,0.0,0.0,-3.2801807894845636,0.050336948457250175,-0.5636862454833368,-0.1000000000000001,-1.1842105263157898
30,-2.0,0.5,0.1,60,10,81,0,81,-91.31717176830057,0.0,0.0,-3.2801807894845636,0.10067389691449921,-1.1273724909666736,-0.2000000000000002,-2.3684210526315796
30,-2.0,0.5,0.15,45,5,81,0,81,-45.658585884150284,0.0,0.0,-3.2801807894845636,0.050336948457250175,-0.5636862454833368,-0.1000000000000001,-1.1842105263157898
30,-2.0,0.5,0.15,45,10,81,0,81,-91.31717176830057,0.0,0.0,-3.2801807894845636,0.10067389691449921,-1.1273724909666736,-0.2000000000000002,-2.3684210526315796
30,-2.0,0.5,0.15,60,5,81,0,81,-45.658585884150284,0.0,0.0,-3.2801807894845636,0.050336948457250175,-0.5636862454833368,-0.1000000000000001,-1.1842105263157898
30,-2.0,0.5,0.15,60,10,81,0,81,-91.31717176830057,0.0,0.0,-3.2801807894845636,0.10067389691449921,-1.1273724909666736,-0.2000000000000002,-2.3684210526315796
20,-2.0,0.5,0.08,45,5,123,0,123,-73.70061919279716,0.0,0.0,-3.2821373297974934,0.07837898176589783,-0.5991920259577005,-0.06666666666666674,-1.143617021276596
20,-2.0,0.5,0.08,45,10,123,0,123,-147.40123838559433,0.0,0.0,-3.2821373297974934,0.15675796353179272,-1.198384051915401,-0.13333333333333347,-2.287234042553192
20,-2.0,0.5,0.08,60,5,123,0,123,-73.70061919279716,0.0,0.0,-3.2821373297974934,0.07837898176589783,-0.5991920259577005,-0.06666666666666674,-1.143617021276596
20,-2.0,0.5,0.08,60,10,123,0,123,-147.40123838559433,0.0,0.0,-3.2821373297974934,0.15675796353179272,-1.198384051915401,-0.13333333333333347,-2.287234042553192
30,-2.0,-0.5,0.08,45,5,109,0,109,-65.88078979198215,0.0,0.0,-3.2845246785793583,0.07055915236508213,-0.604410915522772,-0.13333333333333347,-1.1842105263157898
30,-2.0,-0.5,0.08,45,10,109,0,109,-131.7615795839643,0.0,0.0,-3.2845246785793583,0.1411183047301629,-1.208821831045544,-0.26666666666666694,-2.3684210526315796
30,-2.0,-0.5,0.08,60,5,109,0,109,-65.88078979198215,0.0,0.0,-3.2845246785793583,0.07055915236508213,-0.604410915522772,-0.13333333333333347,-1.1842105263157898
30,-2.0,-0.5,0.08,60,10,109,0,109,-131.7615795839643,0.0,0.0,-3.2845246785793583,0.1411183047301629,-1.208821831045544,-0.26666666666666694,-2.3684210526315796
30,-2.0,-0.5,0.1,45,5,97,0,97,-55.905880448699534,0.0,0.0,-3.2954193716070668,0.06058424302179935,-0.5763492829762838,-0.13333333333333347,-1.1842105263157898
30,-2.0,-0.5,0.1,45,10,97,0,97,-111.81176089739907,0.0,0.0,-3.2954193716070668,0.12116848604359756,-1.1526985659525677,-0.26666666666666694,-2.3684210526315796
30,-2.0,-0.5,0.1,60,5,97,0,97,-55.905880448699534,0.0,0.0,-3.2954193716070668,0.06058424302179935,-0.5763492829762838,-0.13333333333333347,-1.1842105263157898
30,-2.0,-0.5,0.1,60,10,97,0,97,-111.81176089739907,0.0,0.0,-3.2954193716070668,0.12116848604359756,-1.1526985659525677,-0.26666666666666694,-2.3684210526315796
30,-2.0,-0.5,0.15,45,5,97,0,97,-55.905880448699534,0.0,0.0,-3.2954193716070668,0.06058424302179935,-0.5763492829762838,-0.13333333333333347,-1.1842105263157898
30,-2.0,-0.5,0.15,45,10,97,0,97,-111.81176089739907,0.0,0.0,-3.2954193716070668,0.12116848604359756,-1.1526985659525677,-0.26666666666666694,-2.3684210526315796
30,-2.0,-0.5,0.15,60,5,97,0,97,-55.905880448699534,0.0,0.0,-3.2954193716070668,0.06058424302179935,-0.5763492829762838,-0.13333333333333347,-1.1842105263157898
30,-2.0,-0.5,0.15,60,10,97,0,97,-111.81176089739907,0.0,0.0,-3.2954193716070668,0.12116848604359756,-1.1526985659525677,-0.26666666666666694,-2.3684210526315796
30,-1.5,0.5,0.08,45,5,137,0,137,-82.69040391869274,0.0,0.0,-3.3082741667109548,0.08736876649179305,-0.6035795906473922,-0.06666666666666674,-1.1842105263157898
30,-1.5,0.5,0.08,45,10,137,0,137,-165.38080783738548,0.0,0.0,-3.3082741667109548,0.17473753298358383,-1.2071591812947844,-0.13333333333333347,-2.3684210526315796
30,-1.5,0.5,0.08,60,5,137,0,137,-82.69040391869274,0.0,0.0,-3.3082741667109548,0.08736876649179305,-0.6035795906473922,-0.06666666666666674,-1.1842105263157898
30,-1.5,0.5,0.08,60,10,137,0,137,-165.38080783738548,0.0,0.0,-3.3082741667109548,0.17473753298358383,-1.2071591812947844,-0.13333333333333347,-2.3684210526315796
