threshold,stop_loss_pct,target_price,required_ticks,position_size_usdc,sharpe_ratio,win_rate,profit_factor,total_pnl,max_drawdown,total_trades
0.65,0.1,0.85,3,5,0.0,0.0,0.0,-1.4206,0.0014,1
0.65,0.1,0.85,3,10,0.0,0.0,0.0,-2.8413,0.0029,1
0.65,0.1,0.9,3,5,0.0,0.0,0.0,-1.4206,0.0014,1
0.65,0.1,0.9,3,10,0.0,0.0,0.0,-2.8413,0.0029,1
0.65,0.1,0.95,3,5,0.0,0.0,0.0,-1.4206,0.0014,1
0.65,0.1,0.95,3,10,0.0,0.0,0.0,-2.8413,0.0029,1
0.65,0.15,0.85,3,5,0.0,0.0,0.0,-1.4206,0.0014,1
0.65,0.15,0.85,3,10,0.0,0.0,0.0,-2.8413,0.0029,1
0.65,0.15,0.9,3,5,0.0,0.0,0.0,-1.4206,0.0014,1
0.65,0.15,0.9,3,10,0.0,0.0,0.0,-2.8413,0.0029,1
0.65,0.15,0.95,3,5,0.0,0.0,0.0,-1.4206,0.0014,1
0.65,0.15,0.95,3,10,0.0,0.0,0.0,-2.8413,0.0029,1
0.65,0.2,0.85,3,5,0.0,0.0,0.0,-1.4206,0.0014,1
0.65,0.2,0.85,3,10,0.0,0.0,0.0,-2.8413,0.0029,1
0.65,0.2,0.9,3,5,0.0,0.0,0.0,-1.4206,0.0014,1
0.65,0.2,0.9,3,10,0.0,0.0,0.0,-2.8413,0.0029,1
0.65,0.2,0.95,3,5,0.0,0.0,0.0,-1.4206,0.0014,1
0.65,0.2,0.95,3,10,0.0,0.0,0.0,-2.8413,0.0029,1
0.7,0.2,0.85,2,5,0.0,0.0,0.0,-1.6809,0.0017,1
0.7,0.2,0.85,2,10,0.0,0.0,0.0,-3.3618,0.0034,1
0.7,0.2,0.85,3,5,0.0,0.0,0.0,-1.676,0.0017,1
0.7,0.2,0.85,3,10,0.0,0.0,0.0,-3.3519,0.0034,1
0.7,0.2,0.9,2,5,0.0,0.0,0.0,-1.6809,0.0017,1
0.7,0.2,0.9,2,10,0.0,0.0,0.0,-3.3618,0.0034,1
0.7,0.2,0.9,3,5,0.0,0.0,0.0,-1.676,0.0017,1
0.7,0.2,0.9,3,10,0.0,0.0,0.0,-3.3519,0.0034,1
0.7,0.2,0.95,2,5,0.0,0.0,0.0,-1.6809,0.0017,1
0.7,0.2,0.95,2,10,0.0,0.0,0.0,-3.3618,0.0034,1
0.7,0.2,0.95,3,5,0.0,0.0,0.0,-1.676,0.0017,1
0.7,0.2,0.95,3,10,0.0,0.0,0.0,-3.3519,0.0034,1
0.75,0.15,0.85,2,5,0.0,0.0,0.0,-1.9844,0.002,1
0.75,0.15,0.85,2,10,0.0,0.0,0.0,-3.9687,0.004,1
0.75,0.15,0.85,3,5,0.0,0.0,0.0,-2.0133,0.002,1
0.75,0.15,0.85,3,10,0.0,0.0,0.0,-4.0265,0.0041,1
0.75,0.15,0.9,2,5,0.0,0.0,0.0,-1.9844,0.002,1
0.75,0.15,0.9,2,10,0.0,0.0,0.0,-3.9687,0.004,1
0.75,0.15,0.9,3,5,0.0,0.0,0.0,-2.0133,0.002,1
0.75,0.15,0.9,3,10,0.0,0.0,0.0,-4.0265,0.0041,1
0.75,0.15,0.95,2,5,0.0,0.0,0.0,-1.9844,0.002,1
0.75,0.15,0.95,2,10,0.0,0.0,0.0,-3.9687,0.004,1
0.75,0.15,0.95,3,5,0.0,0.0,0.0,-2.0133,0.002,1
0.75,0.15,0.95,3,10,0.0,0.0,0.0,-4.0265,0.0041,1
0.75,0.2,0.85,2,5,0.0,0.0,0.0,-1.9844,0.002,1
0.75,0.2,0.85,2,10,0.0,0.0,0.0,-3.9687,0.004,1
0.75,0.2,0.85,3,5,0.0,0.0,0.0,-2.0133,0.002,1
0.75,0.2,0.85,3,10,0.0,0.0,0.0,-4.0265,0.0041,1
0.75,0.2,0.9,2,5,0.0,0.0,0.0,-1.9844,0.002,1
0.75,0.2,0.9,2,10,0.0,0.0,0.0,-3.9687,0.004,1
0.75,0.2,0.9,3,5,0.0,0.0,0.0,-2.0133,0.002,1
0.75,0.2,0.9,3,10,0.0,0.0,0.0,-4.0265,0.0041,1
0.75,0.2,0.95,2,5,0.0,0.0,0.0,-1.9844,0.002,1
0.75,0.2,0.95,2,10,0.0,0.0,0.0,-3.9687,0.004,1
0.75,0.2,0.95,3,5,0.0,0.0,0.0,-2.0133,0.002,1
0.75,0.2,0.95,3,10,0.0,0.0,0.0,-4.0265,0.0041,1
0.78,0.1,0.85,2,5,0.0,0.0,0.0,0.0,0.0,0
0.78,0.1,0.85,2,10,0.0,0.0,0.0,0.0,0.0,0
0.78,0.1,0.85,3,5,0.0,0.0,0.0,0.0,0.0,0
0.78,0.1,0.85,3,10,0.0,0.0,0.0,0.0,0.0,0
0.78,0.1,0.9,2,5,0.0,0.0,0.0,0.0,0.0,0
0.78,0.1,0.9,2,10,0.0,0.0,0.0,0.0,0.0,0
0.78,0.1,0.9,3,5,0.0,0.0,0.0,0.0,0.0,0
0.78,0.1,0.9,3,10,0.0,0.0,0.0,0.0,0.0,0
0.78,0.1,0.95,2,5,0.0,0.0,0.0,0.0,0.0,0
0.78,0.1,0.95,2,10,0.0,0.0,0.0,0.0,0.0,0
0.78,0.1,0.95,3,5,0.0,0.0,0.0,0.0,0.0,0
0.78,0.1,0.95,3,10,0.0,0.0,0.0,0.0,0.0,0
0.78,0.15,0.85,2,5,0.0,0.0,0.0,0.0,0.0,0
0.78,0.15,0.85,2,10,0.0,0.0,0.0,0.0,0.0,0
0.78,0.15,0.85,3,5,0.0,0.0,0.0,0.0,0.0,0
0.78,0.15,0.85,3,10,0.0,0.0,0.0,0.0,0.0,0
0.78,0.15,0.9,2,5,0.0,0.0,0.0,0.0,0.0,0
0.78,0.15,0.9,2,10,0.0,0.0,0.0,0.0,0.0,0
0.78,0.15,0.9,3,5,0.0,0.0,0.0,0.0,0.0,0
0.78,0.15,0.9,3,10,0.0,0.0,0.0,0.0,0.0,0
0.78,0.15,0.95,2,5,0.0,0.0,0.0,0.0,0.0,0
0.78,0.15,0.95,2,10,0.0,0.0,0.0,0.0,0.0,0
0.78,0.15,0.95,3,5,0.0,0.0,0.0,0.0,0.0,0
0.78,0.15,0.95,3,10,0.0,0.0,0.0,0.0,0.0,0
0.78,0.2,0.85,2,5,0.0,0.0,0.0,0.0,0.0,0
0.78,0.2,0.85,2,10,0.0,0.0,0.0,0.0,0.0,0
0.78,0.2,0.85,3,5,0.0,0.0,0.0,0.0,0.0,0
0.78,0.2,0.85,3,10,0.0,0.0,0.0,0.0,0.0,0
0.78,0.2,0.9,2,5,0.0,0.0,0.0,0.0,0.0,0
0.78,0.2,0.9,2,10,0.0,0.0,0.0,0.0,0.0,0
0.78,0.2,0.9,3,5,0.0,0.0,0.0,0.0,0.0,0
0.78,0.2,0.9,3,10,0.0,0.0,0.0,0.0,0.0,0
0.78,0.2,0.95,2,5,0.0,0.0,0.0,0.0,0.0,0
0.78,0.2,0.95,2,10,0.0,0.0,0.0,0.0,0.0,0
0.78,0.2,0.95,3,5,0.0,0.0,0.0,0.0,0.0,0
0.78,0.2,0.95,3,10,0.0,0.0,0.0,0.0,0.0,0
0.8,0.1,0.85,2,5,0.0,0.0,0.0,0.0,0.0,0
