threshold,stop_loss_pct,target_price,required_ticks,position_size_usdc,sharpe_ratio,win_rate,profit_factor,total_pnl,max_drawdown,total_trades
0.65,0.1,0.85,3,5,0.9032,0.25,5.857,1.212,0.0002,4
0.65,0.1,0.85,3,10,0.9032,0.25,5.857,2.4241,0.0005,4
0.65,0.15,0.85,3,5,0.9032,0.25,5.857,1.212,0.0002,4
0.65,0.15,0.85,3,10,0.9032,0.25,5.857,2.4241,0.0005,4
0.65,0.2,0.85,3,5,0.9032,0.25,5.857,1.212,0.0002,4
0.65,0.2,0.85,3,10,0.9032,0.25,5.857,2.4241,0.0005,4
0.7,0.1,0.85,3,5,0.7823,0.25,3.8594,0.7549,0.0002,4
0.7,0.1,0.85,3,10,0.7823,0.25,3.8594,1.5098,0.0005,4
0.7,0.15,0.85,3,5,0.7823,0.25,3.8594,0.7549,0.0002,4
0.7,0.15,0.85,3,10,0.7823,0.25,3.8594,1.5098,0.0005,4
0.7,0.2,0.85,3,5,0.7823,0.25,3.8594,0.7549,0.0002,4
0.7,0.2,0.85,3,10,0.7823,0.25,3.8594,1.5098,0.0005,4
0.65,0.1,0.85,2,5,0.716,0.2,3.2643,1.1064,0.0004,5
0.65,0.1,0.85,2,10,0.716,0.2,3.2643,2.2129,0.0009,5
0.65,0.15,0.85,2,5,0.716,0.2,3.2643,1.1064,0.0004,5
0.65,0.15,0.85,2,10,0.716,0.2,3.2643,2.2129,0.0009,5
0.65,0.2,0.85,2,5,0.716,0.2,3.2643,1.1064,0.0004,5
0.65,0.2,0.85,2,10,0.716,0.2,3.2643,2.2129,0.0009,5
0.75,0.1,0.85,3,5,0.566,0.25,2.324,0.4035,0.0002,4
0.75,0.1,0.85,3,10,0.566,0.25,2.324,0.807,0.0005,4
0.75,0.15,0.85,3,5,0.566,0.25,2.324,0.4035,0.0002,4
0.75,0.15,0.85,3,10,0.566,0.25,2.324,0.807,0.0005,4
0.75,0.2,0.85,3,5,0.566,0.25,2.324,0.4035,0.0002,4
0.75,0.2,0.85,3,10,0.566,0.25,2.324,0.807,0.0005,4
0.7,0.1,0.85,2,5,0.4823,0.2,1.9736,0.5474,0.0004,5
0.7,0.1,0.85,2,10,0.4823,0.2,1.9736,1.0948,0.0009,5
