threshold,stop_loss_pct,target_price,required_ticks,position_size_usdc,sharpe_ratio,win_rate,profit_factor,total_pnl,max_drawdown,total_trades
0.65,0.1,0.95,3,5,-3.0388,0.0993,0.2789,-8.1338,0.0155,141
0.65,0.1,0.95,3,10,-3.0388,0.0993,0.2789,-16.2675,0.0309,141
0.65,0.15,0.95,3,5,-3.0388,0.0993,0.2789,-8.1338,0.0155,141
0.65,0.15,0.95,3,10,-3.0388,0.0993,0.2789,-16.2675,0.0309,141
0.65,0.2,0.95,3,5,-3.0388,0.0993,0.2789,-8.1338,0.0155,141
0.65,0.2,0.95,3,10,-3.0388,0.0993,0.2789,-16.2675,0.0309,141
0.7,0.1,0.95,3,5,-3.5293,0.0993,0.2354,-8.8386,0.0155,141
0.7,0.1,0.95,3,10,-3.5293,0.0993,0.2354,-17.6772,0.0309,141
0.7,0.15,0.95,3,5,-3.5293,0.0993,0.2354,-8.8386,0.0155,141
0.7,0.15,0.95,3,10,-3.5293,0.0993,0.2354,-17.6772,0.0309,141
0.7,0.2,0.95,3,5,-3.5293,0.0993,0.2354,-8.8386,0.0155,141
0.7,0.2,0.95,3,10,-3.5293,0.0993,0.2354,-17.6772,0.0309,141
0.65,0.1,0.9,3,5,-3.6971,0.1429,0.3491,-5.7249,0.0135,168
0.65,0.1,0.9,3,10,-3.6971,0.1429,0.3491,-11.4497,0.0269,168
0.65,0.15,0.9,3,5,-3.6971,0.1429,0.3491,-5.7249,0.0135,168
0.65,0.15,0.9,3,10,-3.6971,0.1429,0.3491,-11.4497,0.0269,168
0.65,0.2,0.9,3,5,-3.6971,0.1429,0.3491,-5.7249,0.0135,168
0.65,0.2,0.9,3,10,-3.6971,0.1429,0.3491,-11.4497,0.0269,168
0.65,0.1,0.95,2,5,-4.1962,0.0973,0.2773,-7.987,0.0167,185
0.65,0.1,0.95,2,10,-4.1962,0.0973,0.2773,-15.974,0.0333,185
0.65,0.15,0.95,2,5,-4.1962,0.0973,0.2773,-7.987,0.0167,185
0.65,0.15,0.95,2,10,-4.1962,0.0973,0.2773,-15.974,0.0333,185
