ma_window,entry_zscore,exit_zscore,stop_loss_pct,timeout_minutes,position_size_usdc,total_trades,winners,losers,total_pnl,win_rate,profit_factor,sharpe_ratio,max_drawdown,avg_trade_pnl,best_trade,worst_trade
20,-2.5,0.5,0.15,45,5,9,2,7,-0.9114726992928418,0.2222222222222222,0.6039093024239115,-0.14952287489661706,0.0070121801394587915,-0.1012747443658713,1.3295880149812733,-1.1218229623137597
20,-2.5,0.5,0.15,45,10,9,2,7,-1.8229453985856836,0.2222222222222222,0.6039093024239115,-0.14952287489661706,0.014024360278917583,-0.2025494887317426,2.6591760299625467,-2.2436459246275193
20,-2.5,0.5,0.15,60,5,9,2,7,-0.9114726992928418,0.2222222222222222,0.6039093024239115,-0.14952287489661706,0.0070121801394587915,-0.1012747443658713,1.3295880149812733,-1.1218229623137597
20,-2.5,0.5,0.15,60,10,9,2,7,-1.8229453985856836,0.2222222222222222,0.6039093024239115,-0.14952287489661706,0.014024360278917583,-0.2025494887317426,2.6591760299625467,-2.2436459246275193
30,-2.5,0.5,0.15,45,5,10,2,8,-2.259716035898714,0.2,0.4202237111630746,-0.29903344635633144,0.008263673236901014,-0.2259716035898714,1.3295880149812733,-1.2746710526315792
30,-2.5,0.5,0.15,45,10,10,2,8,-4.519432071797428,0.2,0.4202237111630746,-0.29903344635633144,0.01652734647380214,-0.4519432071797428,2.6591760299625467,-2.5493421052631584
30,-2.5,0.5,0.15,60,5,10,2,8,-2.259716035898714,0.2,0.4202237111630746,-0.29903344635633144,0.008263673236901014,-0.2259716035898714,1.3295880149812733,-1.2746710526315792
30,-2.5,0.5,0.15,60,10,10,2,8,-4.519432071797428,0.2,0.4202237111630746,-0.29903344635633144,0.01652734647380214,-0.4519432071797428,2.6591760299625467,-2.5493421052631584
30,-2.0,0.5,0.15,45,5,30,5,25,-5.457209614071142,0.16666666666666666,0.2612513724395964,-0.4046097582622719,0.010565327690030244,-0.18190698713570475,1.3295880149812733,-1.2746710526315792
30,-2.0,0.5,0.15,45,10,30,5,25,-10.914419228142284,0.16666666666666666,0.2612513724395964,-0.4046097582622719,0.021130655380060148,-0.3638139742714095,2.6591760299625467,-2.5493421052631584
30,-2.0,0.5,0.15,60,5,30,5,25,-5.457209614071142,0.16666666666666666,0.2612513724395964,-0.4046097582622719,0.010565327690030244,-0.18190698713570475,1.3295880149812733,-1.2746710526315792
30,-2.0,0.5,0.15,60,10,30,5,25,-10.914419228142284,0.16666666666666666,0.2612513724395964,-0.4046097582622719,0.021130655380060148,-0.3638139742714095,2.6591760299625467,-2.5493421052631584
20,-2.0,0.5,0.15,45,5,37,6,31,-7.746621758736721,0.16216216216216217,0.19760233888585055,-0.5022302623292959,0.012623994854149714,-0.209368155641533,1.3295880149812733,-1.2746710526315792
20,-2.0,0.5,0.15,45,10,37,6,31,-15.493243517473442,0.16216216216216217,0.19760233888585055,-0.5022302623292959,0.02524798970829886,-0.418736311283066,2.6591760299625467,-2.5493421052631584
20,-2.0,0.5,0.15,60,5,37,6,31,-7.746621758736721,0.16216216216216217,0.19760233888585055,-0.5022302623292959,0.012623994854149714,-0.209368155641533,1.3295880149812733,-1.2746710526315792
20,-2.0,0.5,0.15,60,10,37,6,31,-15.493243517473442,0.16216216216216217,0.19760233888585055,-0.5022302623292959,0.02524798970829886,-0.418736311283066,2.6591760299625467,-2.5493421052631584
30,-2.5,0.0,0.15,45,5,10,2,8,-3.2440590173726984,0.2,0.2072794317951719,-0.5520236945258967,0.008437308137113178,-0.32440590173726985,0.4300246609124534,-1.2746710526315792
30,-2.5,0.0,0.15,45,10,10,2,8,-6.488118034745397,0.2,0.2072794317951719,-0.5520236945258967,0.01687461627422647,-0.6488118034745397,0.8600493218249068,-2.5493421052631584
30,-2.5,0.0,0.15,60,5,10,2,8,-3.2440590173726984,0.2,0.2072794317951719,-0.5520236945258967,0.008437308137113178,-0.32440590173726985,0.4300246609124534,-1.2746710526315792
30,-2.5,0.0,0.15,60,10,10,2,8,-6.488118034745397,0.2,0.2072794317951719,-0.5520236945258967,0.01687461627422647,-0.6488118034745397,0.8600493218249068,-2.5493421052631584
30,-1.5,0.5,0.15,45,5,59,7,52,-20.04226550276013,0.11864406779661017,0.11576654685731019,-0.5563567633013806,0.025005599650890303,-0.33969941530101916,1.3295880149812733,-3.368761552680222
30,-1.5,0.5,0.15,45,10,59,7,52,-40.08453100552026,0.11864406779661017,0.11576654685731019,-0.5563567633013806,0.05001119930178038,-0.6793988306020383,2.6591760299625467,-6.737523105360444
30,-1.5,0.5,0.15,60,5,59,7,52,-20.04226550276013,0.11864406779661017,0.11576654685731019,-0.5563567633013806,0.025005599650890303,-0.33969941530101916,1.3295880149812733,-3.368761552680222
30,-1.5,0.5,0.15,60,10,59,7,52,-40.08453100552026,0.11864406779661017,0.11576654685731019,-0.5563567633013806,0.05001119930178038,-0.6793988306020383,2.6591760299625467,-6.737523105360444
30,-2.0,0.5,0.1,45,5,32,4,28,-9.553664702269751,0.125,0.1439069420454919,-0.592369609754085,0.014617635930757615,-0.2985520219459297,1.2903225806451621,-1.2629399585921326
30,-2.0,0.5,0.1,45,10,32,4,28,-19.107329404539502,0.125,0.1439069420454919,-0.592369609754085,0.029235271861515002,-0.5971040438918594,2.5806451612903243,-2.525879917184265
30,-2.0,0.5,0.1,60,5,32,4,28,-9.553664702269751,0.125,0.1439069420454919,-0.592369609754085,0.014617635930757615,-0.2985520219459297,1.2903225806451621,-1.2629399585921326
30,-2.0,0.5,0.1,60,10,32,4,28,-19.107329404539502,0.125,0.1439069420454919,-0.592369609754085,0.029235271861515002,-0.5971040438918594,2.5806451612903243,-2.525879917184265
10,-2.5,0.0,0.15,45,5,8,1,7,-2.195420859842922,0.125,0.1640098568343729,-0.5980204900867944,0.0069811293255805824,-0.27442760748036527,0.4307116104868907,-1.1218229623137597
10,-2.5,0.0,0.15,45,10,8,1,7,-4.390841719685844,0.125,0.1640098568343729,-0.5980204900867944,0.01396225865116162,-0.5488552149607305,0.8614232209737814,-2.2436459246275193
10,-2.5,0.0,0.15,60,5,8,1,7,-2.195420859842922,0.125,0.1640098568343729,-0.5980204900867944,0.0069811293255805824,-0.27442760748036527,0.4307116104868907,-1.1218229623137597
10,-2.5,0.0,0.15,60,10,8,1,7,-4.390841719685844,0.125,0.1640098568343729,-0.5980204900867944,0.01396225865116162,-0.5488552149607305,0.8614232209737814,-2.2436459246275193
20,-2.5,0.0,0.15,45,5,9,1,8,-2.4130217643793164,0.1111111111111111,0.09377210531151695,-0.619685237354348,0.007291617054854214,-0.2681135293754796,0.2496878901373277,-1.1218229623137597
20,-2.5,0.0,0.15,45,10,9,1,8,-4.826043528758633,0.1111111111111111,0.09377210531151695,-0.619685237354348,0.014583234109708769,-0.5362270587509592,0.4993757802746554,-2.2436459246275193
20,-2.5,0.0,0.15,60,5,9,1,8,-2.4130217643793164,0.1111111111111111,0.09377210531151695,-0.619685237354348,0.007291617054854214,-0.2681135293754796,0.2496878901373277,-1.1218229623137597
20,-2.5,0.0,0.15,60,10,9,1,8,-4.826043528758633,0.1111111111111111,0.09377210531151695,-0.619685237354348,0.014583234109708769,-0.5362270587509592,0.4993757802746554,-2.2436459246275193
30,-2.0,0.5,0.08,45,5,33,4,29,-11.593353049575096,0.12121212121212122,0.13927373069082793,-0.6488118508792221,0.016927294164907947,-0.35131372877500294,1.2903225806451621,-1.2629399585921326
30,-2.0,0.5,0.08,45,10,33,4,29,-23.186706099150193,0.12121212121212122,0.13927373069082793,-0.6488118508792221,0.033854588329815784,-0.7026274575500059,2.5806451612903243,-2.525879917184265
30,-2.0,0.5,0.08,60,5,33,4,29,-11.593353049575096,0.12121212121212122,0.13927373069082793,-0.6488118508792221,0.016927294164907947,-0.35131372877500294,1.2903225806451621,-1.2629399585921326
30,-2.0,0.5,0.08,60,10,33,4,29,-23.186706099150193,0.12121212121212122,0.13927373069082793,-0.6488118508792221,0.033854588329815784,-0.7026274575500059,2.5806451612903243,-2.525879917184265
20,-1.5,0.5,0.15,45,5,63,5,58,-22.812047875151713,0.07936507936507936,0.07578799376958757,-0.6496322653380462,0.027689420970564697,-0.36209599801828113,1.3295880149812733,-3.2766476810414975
20,-1.5,0.5,0.15,45,10,63,5,58,-45.624095750303425,0.07936507936507936,0.07578799376958757,-0.6496322653380462,0.055378841941128715,-0.7241919960365623,2.6591760299625467,-6.553295362082995
20,-1.5,0.5,0.15,60,5,63,5,58,-22.812047875151713,0.07936507936507936,0.07578799376958757,-0.6496322653380462,0.027689420970564697,-0.36209599801828113,1.3295880149812733,-3.2766476810414975
20,-1.5,0.5,0.15,60,10,63,5,58,-45.624095750303425,0.07936507936507936,0.07578799376958757,-0.6496322653380462,0.055378841941128715,-0.7241919960365623,2.6591760299625467,-6.553295362082995
10,-2.0,0.5,0.15,45,5,35,3,32,-13.92550876330204,0.08571428571428572,0.02566171127183757,-0.6588934847658039,0.01870918023726938,-0.39787167895148684,0.2496878901373277,-3.3614420547733252
10,-2.0,0.5,0.15,45,10,35,3,32,-27.85101752660408,0.08571428571428572,0.02566171127183757,-0.6588934847658039,0.03741836047453842,-0.7957433579029737,0.4993757802746554,-6.7228841095466505
