threshold,stop_loss_pct,target_price,required_ticks,position_size_usdc,sharpe_ratio,win_rate,profit_factor,total_pnl,max_drawdown,total_trades
0.65,0.2,0.95,3,5,-4.1746,0.0164,0.0083,-4.3592,0.0059,61
0.65,0.2,0.95,3,10,-4.1746,0.0164,0.0083,-8.7185,0.0117,61
0.7,0.2,0.95,3,5,-4.1746,0.0164,0.0083,-4.3592,0.0059,61
0.7,0.2,0.95,3,10,-4.1746,0.0164,0.0083,-8.7185,0.0117,61
0.75,0.2,0.95,3,5,-4.1746,0.0164,0.0083,-4.3592,0.0059,61
0.75,0.2,0.95,3,10,-4.1746,0.0164,0.0083,-8.7185,0.0117,61
0.65,0.2,0.95,2,5,-4.7136,0.0137,0.0095,-4.8366,0.0066,73
0.65,0.2,0.95,2,10,-4.7136,0.0137,0.0095,-9.6732,0.0133,73
0.7,0.2,0.95,2,5,-4.7136,0.0137,0.0095,-4.8366,0.0066,73
0.7,0.2,0.95,2,10,-4.7136,0.0137,0.0095,-9.6732,0.0133,73
0.75,0.2,0.95,2,5,-4.7136,0.0137,0.0095,-4.8366,0.0066,73
0.75,0.2,0.95,2,10,-4.7136,0.0137,0.0095,-9.6732,0.0133,73
0.65,0.15,0.95,3,5,-4.7676,0.0161,0.0078,-4.6879,0.0062,62
0.65,0.15,0.95,3,10,-4.7676,0.0161,0.0078,-9.3757,0.0124,62
0.78,0.2,0.95,3,5,-4.8361,0.0167,0.0101,-3.2927,0.0048,60
0.78,0.2,0.95,3,10,-4.8361,0.0167,0.0101,-6.5853,0.0096,60
0.8,0.2,0.95,3,5,-4.8361,0.0167,0.0101,-3.2927,0.0048,60
0.8,0.2,0.95,3,10,-4.8361,0.0167,0.0101,-6.5853,0.0096,60
0.7,0.15,0.95,3,5,-4.966,0.0164,0.009,-3.8963,0.0054,61
0.7,0.15,0.95,3,10,-4.966,0.0164,0.009,-7.7926,0.0108,61
0.75,0.15,0.95,3,5,-4.966,0.0164,0.009,-3.8963,0.0054,61
0.75,0.15,0.95,3,10,-4.966,0.0164,0.009,-7.7926,0.0108,61
0.78,0.15,0.95,3,5,-4.966,0.0164,0.009,-3.8963,0.0054,61
0.78,0.15,0.95,3,10,-4.966,0.0164,0.009,-7.7926,0.0108,61
0.65,0.15,0.95,2,5,-5.3589,0.0135,0.009,-5.1537,0.007,74
0.65,0.15,0.95,2,10,-5.3589,0.0135,0.009,-10.3074,0.014,74
0.78,0.2,0.95,2,5,-5.6174,0.0139,0.0113,-3.7689,0.0056,72
0.78,0.2,0.95,2,10,-5.6174,0.0139,0.0113,-7.5378,0.0111,72
0.8,0.2,0.95,2,5,-5.6174,0.0139,0.0113,-3.7689,0.0056,72
0.8,0.2,0.95,2,10,-5.6174,0.0139,0.0113,-7.5378,0.0111,72
0.7,0.15,0.95,2,5,-5.783,0.0137,0.0103,-4.33,0.0061,73
0.7,0.15,0.95,2,10,-5.783,0.0137,0.0103,-8.6599,0.0123,73
0.75,0.15,0.95,2,5,-5.783,0.0137,0.0103,-4.33,0.0061,73
0.75,0.15,0.95,2,10,-5.783,0.0137,0.0103,-8.6599,0.0123,73
0.78,0.15,0.95,2,5,-5.783,0.0137,0.0103,-4.33,0.0061,73
0.78,0.15,0.95,2,10,-5.783,0.0137,0.0103,-8.6599,0.0123,73
0.8,0.15,0.95,2,5,-5.783,0.0137,0.0103,-4.33,0.0061,73
0.8,0.15,0.95,2,10,-5.783,0.0137,0.0103,-8.6599,0.0123,73
0.8,0.15,0.95,3,5,-5.8756,0.0167,0.0106,-3.0722,0.0046,60
